Name ,Share price ,M Cap,Industry,Exchange
"TOELL CO.,LTD.",826 JPY,11Cr,Other Oil & Gas Refining and Marketing,Tokyo Stock Exchange
"HEROZ, INC.",1107 JPY,11Cr,Other Software,Tokyo Stock Exchange
FIT EASY INC.,1025 JPY,11Cr,"Gyms, Fitness and Spa Centers",Tokyo Stock Exchange
ISB CORPORATION,1489 JPY,11Cr,Other Software,Tokyo Stock Exchange
"MERCURIA HOLDINGS CO., LTD.",875 JPY,11Cr,Other Investment Management & Fund Operators,Tokyo Stock Exchange
PARIS MIKI HOLDINGS INC.,327 JPY,11Cr,Optical Goods Stores,Tokyo Stock Exchange
"PLUSZERO, INC.",2195 JPY,11Cr,Other IT Services & Consulting,Tokyo Stock Exchange
OKADA AIYON CORPORATION,2129 JPY,11Cr,Construction Machinery,Tokyo Stock Exchange
TAKATORI CORPORATION,3035 JPY,11Cr,Semiconductor Machinery Manufacturing,Tokyo Stock Exchange
"CROSS CAT CO., LTD.",1185 JPY,11Cr,Other IT Services & Consulting,Tokyo Stock Exchange
DKK-TOA CORPORATION,830 JPY,11Cr,Electrical Measuring & Testing Instruments,Tokyo Stock Exchange
"ADTEC PLASMA TECHNOLOGY CO., LTD.",1907 JPY,11Cr,Other Semiconductor Equipment & Testing,Tokyo Stock Exchange
"HELIOS TECHNO HOLDING CO., LTD.",972 JPY,11Cr,Lighting Equipment,Tokyo Stock Exchange
"CHUBU-NIPPON BROADCASTING CO., LTD.",615 JPY,11Cr,Other Broadcasting,Tokyo Stock Exchange
"THE TORIGOE CO., LTD.",710 JPY,11Cr,Flour Milling,Tokyo Stock Exchange
DANTO HOLDINGS CORPORATION,523 JPY,11Cr,Other Construction Materials,Tokyo Stock Exchange
GRANDY HOUSE CORPORATION,574 JPY,11Cr,Residential Real Estate Development,Tokyo Stock Exchange
"ANRAKUTEI CO., LTD.",7100 JPY,11Cr,Other Restaurants & Bars,Tokyo Stock Exchange
AHRESTY CORPORATION,647 JPY,11Cr,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
"IDEA CONSULTANTS,INC.",2279 JPY,11Cr,Environmental Consultancy Services,Tokyo Stock Exchange
"OHBA CO., LTD.",1028 JPY,11Cr,Other Construction & Engineering,Tokyo Stock Exchange
"NIPPON CARBIDE INDUSTRIES CO., INC.",1741 JPY,11Cr,Other Commodity Chemicals,Tokyo Stock Exchange
NIPPON BS BROADCASTING CORPORATION,902 JPY,11Cr,Television Broadcasting,Tokyo Stock Exchange
"REVOLUTION CO., LTD.",24 JPY,11Cr,Other Real Estate Services,Tokyo Stock Exchange
"YAGI & CO.,LTD.",1855 JPY,11Cr,Textiles & Leather Goods Wholesale,Tokyo Stock Exchange
"AGRO-KANESHO CO., LTD.",1412 JPY,11Cr,Pesticide,Tokyo Stock Exchange
"SEIKO ELECTRIC CO., LTD.",1286 JPY,11Cr,Other Heavy Electrical Equipment,Tokyo Stock Exchange
JAPAN LIVING WARRANTY INC.,3130 JPY,11Cr,Consumer Repair Services,Tokyo Stock Exchange
CMC CORPORATION,1207 JPY,110M,Marketing Consulting Services,Tokyo Stock Exchange
ENTRUST INC.,725 JPY,110M,Other Consumer Lending,Tokyo Stock Exchange
"AMAZE CO., LTD.",1057 JPY,110M,Hotels & Motels,Tokyo Stock Exchange
"OIE SANGYO CO., LTD.",1971 JPY,110M,Food Wholesale,Tokyo Stock Exchange
"YUASA FUNASHOKU CO., LTD.",3690 JPY,110M,Other Food Retail & Distribution,Tokyo Stock Exchange
"FIRST BROTHERS CO.,LTD.",1150 JPY,110M,Investment Banking,Tokyo Stock Exchange
"AXYZ CO., LTD.",2850 JPY,110M,Animal Slaughtering & Processing,Tokyo Stock Exchange
COOKPAD INC.,202 JPY,110M,Content & Site Management Services,Tokyo Stock Exchange
"ANGES, INC.",72 JPY,109M,Bio Therapeutic Drugs,Tokyo Stock Exchange
"NIHON YAMAMURA GLASS CO., LTD.",1529 JPY,109M,Glass Containers & Packaging,Tokyo Stock Exchange
TRINITY INDUSTRIAL CORPORATION,965 JPY,109M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"SHARINGTECHNOLOGY, INC.",766 JPY,109M,Other Internet Services,Tokyo Stock Exchange
DMW CORPORATION,3745 JPY,109M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"S LINE GROUP CO., LTD.",1453 JPY,109M,Freight Trucking,Tokyo Stock Exchange
TACMINA CORPORATION,2195 JPY,109M,Pump & Pumping Equipment,Tokyo Stock Exchange
"HITO-COMMUNICATIONS HOLDINGS,INC.",894 JPY,109M,Outsourcing & Staffing Services,Tokyo Stock Exchange
STELLA PHARMA CORPORATION,495 JPY,109M,Other Pharmaceuticals,Tokyo Stock Exchange
"SANKO METAL INDUSTRIAL CO., LTD.",4095 JPY,109M,"Iron, Steel Mills & Foundries",Tokyo Stock Exchange
"PEOPLE, DREAMS & TECHNOLOGIES GROUP CO., LTD.",1763 JPY,109M,Civil Engineers & Architects,Tokyo Stock Exchange
MARUWN CORPORATION,536 JPY,109M,Other Ground Freight & Logistics,Tokyo Stock Exchange
"DAIICHI CO.,LTD.",1387 JPY,109M,Supermarkets & Convenience Stores,Tokyo Stock Exchange
"NICHIMO CO., LTD.",1894 JPY,108M,Seafood Product Preparation & Packaging,Tokyo Stock Exchange
GUMI INC.,318 JPY,108M,Mobile Application Software,Tokyo Stock Exchange
"FUJIKURA KASEI CO., LTD.",516 JPY,108M,Paint & Coating,Tokyo Stock Exchange
BR. HOLDINGS CORPORATION,352 JPY,108M,Highway & Bridge Construction,Tokyo Stock Exchange
WADAKOHSAN CORPORATION,1425 JPY,107M,Residential Real Estate Development,Tokyo Stock Exchange
CANOX CORPORATION,1732 JPY,107M,Metal Merchant Wholesale,Tokyo Stock Exchange
"UBICOM HOLDINGS, INC.",1390 JPY,107M,Other IT Services & Consulting,Tokyo Stock Exchange
WELLNET CORPORATION,886 JPY,107M,Transaction & Payment Services,Tokyo Stock Exchange
TIGERS POLYMER CORPORATION,778 JPY,107M,Industrial Rubber Products,Tokyo Stock Exchange
CERES INC.,1329 JPY,107M,Other Internet Services,Tokyo Stock Exchange
"SEED CO.,LTD.",524 JPY,106M,"Glasses, Spectacles & Contact Lenses",Tokyo Stock Exchange
"FUJI DIE CO.,LTD.",774 JPY,106M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"KAMAKURA SHINSHO, LTD.",420 JPY,106M,Other Internet Services,Tokyo Stock Exchange
"FAITHNETWORK CO.,LTD",1551 JPY,106M,Residential Real Estate Development,Tokyo Stock Exchange
"TENPO INNOVATION CO.,LTD.",924 JPY,106M,Retail Real Estate Development,Tokyo Stock Exchange
"KANEKO SEEDS CO., LTD.",1380 JPY,106M,Pesticide,Tokyo Stock Exchange
"SUNDAY CO.,LTD.",1440 JPY,106M,Other Home Improvement Products & Services Retailers,Tokyo Stock Exchange
"BEING HOLDINGS CO., LTD.",2578 JPY,106M,Other Ground Freight & Logistics,Tokyo Stock Exchange
"HIMACS, LTD.",1333 JPY,106M,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
"ESOL CO.,LTD.",754 JPY,11Cr,Other Software,Tokyo Stock Exchange
"MICROWAVE CHEMICAL CO., LTD.",956 JPY,11Cr,Other Commodity Chemicals,Tokyo Stock Exchange
"LIB WORK CO.,LTD.",659 JPY,11Cr,Residential Real Estate Development,Tokyo Stock Exchange
FIXER INC.,1088 JPY,10Cr,Cloud Computing Services,Tokyo Stock Exchange
"SHIN MAINT HOLDINGS CO.,LTD.",1512 JPY,10Cr,Maintenance & Repair Services,Tokyo Stock Exchange
"NARASAKI SANGYO CO., LTD.",3025 JPY,10Cr,Industrial Machinery,Tokyo Stock Exchange
AI INSIDE INC.,3935 JPY,10Cr,Other Software,Tokyo Stock Exchange
"KYOWANISSEI CO.,LTD.",1320 JPY,10Cr,Other Construction & Engineering,Tokyo Stock Exchange
"TOGAMI ELECTRIC MFG. CO., LTD.",3115 JPY,10Cr,Other Electrical Components & Equipment,Tokyo Stock Exchange
STREAM MEDIA CORPORATION,132 JPY,10Cr,Other Entertainment Production,Tokyo Stock Exchange
"ERI HOLDINGS CO., LTD.",2003 JPY,10Cr,Other Real Estate Services,Tokyo Stock Exchange
"LOGINET JAPAN CO., LTD.",2840 JPY,10Cr,Integrated Logistics Operators,Tokyo Stock Exchange
"NCD CO., LTD.",1895 JPY,10Cr,Other IT Services & Consulting,Tokyo Stock Exchange
LABORO.AI INC.,955 JPY,10Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"KONOSHIMA CHEMICAL CO.,LTD.",1770 JPY,10Cr,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
"DAIKEN MEDICAL CO., LTD.",528 JPY,10Cr,Medical Equipment,Tokyo Stock Exchange
MATSUOKA CORPORATION,1508 JPY,10Cr,Other Apparel & Accessories,Tokyo Stock Exchange
"ONCOTHERAPY SCIENCE, INC.",53 JPY,10Cr,Bio Therapeutic Drugs,Tokyo Stock Exchange
SPIDERPLUS & CO.,446 JPY,10Cr,Other Software,Tokyo Stock Exchange
"KATO WORKS CO.,LTD.",1284 JPY,10Cr,Construction Machinery,Tokyo Stock Exchange
AGS CORPORATION,900 JPY,10Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"GENIEE, INC.",1218 JPY,10Cr,Advertising Agency,Tokyo Stock Exchange
GEOLIVE GROUP CORPORATION,1140 JPY,10Cr,Construction Supplies & Fixtures Wholesale,Tokyo Stock Exchange
NODA CORPORATION,951 JPY,10Cr,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
"ULTRAFABRICS HOLDINGS CO.,LTD.",848 JPY,10Cr,Leather Goods,Tokyo Stock Exchange
"FUKUVI CHEMICAL INDUSTRY CO.,LTD.",742 JPY,10Cr,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
"HUMAN HOLDINGS CO., LTD.",1432 JPY,10Cr,Outsourcing & Staffing Services,Tokyo Stock Exchange
"POLE TO WIN HOLDINGS, INC.",422 JPY,10Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"HIGASHI TWENTY ONE CO., LTD.",1130 JPY,10Cr,Other Ground Freight & Logistics,Tokyo Stock Exchange
CUBE SYSTEM INC.,981 JPY,10Cr,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
"TOHOKU STEEL CO., LTD.",1966 JPY,10Cr,"Iron, Steel Mills & Foundries",Tokyo Stock Exchange
"NAKANISHI MFG. CO., LTD.",2380 JPY,10Cr,Industrial Machinery,Tokyo Stock Exchange
YAGAMI INC.,2660 JPY,10Cr,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"KURAMOTO CO., LTD.",393 JPY,10Cr,Other Electronic Equipment & Parts,Tokyo Stock Exchange
"MIYOSHI OIL & FAT CO., LTD.",1505 JPY,10Cr,Other Food Processing,Tokyo Stock Exchange
SMK CORPORATION,2294 JPY,10Cr,Electronic Component,Tokyo Stock Exchange
PROGRIT INC.,1213 JPY,10Cr,Miscellaneous Educational Service Providers,Tokyo Stock Exchange
"QB NET HOLDINGS CO.,LTD.",1116 JPY,10Cr,Personal Care Services,Tokyo Stock Exchange
KIZUNA HOLDINGS CORP.,2116 JPY,10Cr,Funeral Services,Tokyo Stock Exchange
UNIRITA INC.,1927 JPY,10Cr,Enterprise Software,Tokyo Stock Exchange
JANOME CORPORATION,824 JPY,10Cr,Household Appliances,Tokyo Stock Exchange
"FIRST JUKEN CO., LTD.",1054 JPY,10Cr,Residential Builders - Single Homes,Tokyo Stock Exchange
NEURAL GROUP INC.,945 JPY,10Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"KIMURA CHEMICAL PLANTS CO., LTD.",725 JPY,10Cr,Industrial Machinery,Tokyo Stock Exchange
VISASQ INC.,1583 JPY,10Cr,Other Internet Services,Tokyo Stock Exchange
"NAKAMOTO PACKS CO.,LTD.",1638 JPY,10Cr,Plastic Containers & Packaging,Tokyo Stock Exchange
"NICHIA STEEL WORKS, LTD.",305 JPY,9.97Cr,Metallic Rolling & Drawing Products,Tokyo Stock Exchange
"NOVAC CO., LTD.",2810 JPY,9.97Cr,Other Construction & Engineering,Tokyo Stock Exchange
"THE TAIKO BANK,LTD.",1490 JPY,9.95Cr,Commercial Banks,Tokyo Stock Exchange
KUFU COMPANY INC.,243 JPY,9.94Cr,Other Internet Services,Tokyo Stock Exchange
"NAKABAYASHI CO., LTD.",529 JPY,9.93Cr,Other Paper Products,Tokyo Stock Exchange
ENVIPRO HOLDINGS INC.,489 JPY,9.91Cr,"Waste Management, Disposal & Recycling Services",Tokyo Stock Exchange
"TOMATO BANK, LTD.",1249 JPY,9.91Cr,Other Banks,Tokyo Stock Exchange
YOUJI CORPORATION,1350 JPY,9.88Cr,Miscellaneous Educational Service Providers,Tokyo Stock Exchange
"KANAME KOGYO CO.,LTD.",901 JPY,9.86Cr,"Waste Management, Disposal & Recycling Services",Tokyo Stock Exchange
ADWAYS INC.,367 JPY,9.84Cr,Advertising Agency,Tokyo Stock Exchange
"SATOH & CO., LTD.",1716 JPY,9.83Cr,Food Wholesale,Tokyo Stock Exchange
"ONAMBA CO., LTD.",1213 JPY,9.83Cr,Wires & Cables,Tokyo Stock Exchange
"THE TAKIGAMI STEEL CONSTRUCTION CO., LTD.",6500 JPY,9.83Cr,Other Construction & Engineering,Tokyo Stock Exchange
"AUTO SERVER CO., LTD.",1999 JPY,9.8Cr,Other Internet Services,Tokyo Stock Exchange
"NIPPON SKI RESORT DEVELOPMENT CO.,LTD.",937 JPY,9.79Cr,Other Leisure & Recreation,Tokyo Stock Exchange
"SUMINOE TEXTILE CO., LTD.",2110 JPY,9.78Cr,Automotive Accessories,Tokyo Stock Exchange
"AINAVO HOLDINGS CO.,LTD.",1223 JPY,9.75Cr,Construction Supplies & Fixtures Wholesale,Tokyo Stock Exchange
"SENSHUKAI CO., LTD.",305 JPY,9.72Cr,Internet & Mail Order Department Stores,Tokyo Stock Exchange
AXELL CORPORATION,1311 JPY,9.7Cr,Integrated Circuits,Tokyo Stock Exchange
FEEDFORCE GROUP INC.,549 JPY,9.69Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"KEYHOLDER, INC.",752 JPY,9.68Cr,Other Leisure & Recreation,Tokyo Stock Exchange
"BRUNO,INC.",979 JPY,9.67Cr,Other Household Products,Tokyo Stock Exchange
"OPEN GROUP, INC.",233 JPY,9.67Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"CYBERTRUST JAPAN CO., LTD.",1838 JPY,9.67Cr,Other Software,Tokyo Stock Exchange
INTER ACTION CORPORATION,1270 JPY,9.66Cr,Semiconductor Testing Equipment & Service,Tokyo Stock Exchange
INTLOOP INC.,3035 JPY,9.65Cr,Other Business Support Services,Tokyo Stock Exchange
"MARUHACHI HOLDINGS CO., LTD.",910 JPY,9.65Cr,Other Textiles & Leather Goods,Tokyo Stock Exchange
"NIHON SHOKUHIN KAKO CO., LTD.",2840 JPY,9.63Cr,Sugar & Artificial Sweeteners,Tokyo Stock Exchange
"NANO MRNA CO.,LTD.",201 JPY,9.62Cr,Bio Therapeutic Drugs,Tokyo Stock Exchange
"KOTOBUKIYA CO., LTD.",1748 JPY,9.61Cr,Other Toys & Juvenile Products,Tokyo Stock Exchange
YE DIGITAL CORPORATION,773 JPY,9.6Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"FFRI SECURITY, INC.",1745 JPY,9.6Cr,Internet Security & Transactions Services,Tokyo Stock Exchange
"ASHIMORI INDUSTRY CO., LTD.",2343 JPY,9.6Cr,Automotive Accessories,Tokyo Stock Exchange
OUG HOLDINGS INC.,2588 JPY,9.55Cr,Fishing & Farming Wholesale,Tokyo Stock Exchange
"TOYO MACHINERY & METAL CO., LTD.",675 JPY,9.53Cr,Industrial Machinery,Tokyo Stock Exchange
VALUENCE HOLDINGS INC.,1056 JPY,9.53Cr,Used Merchandise Stores,Tokyo Stock Exchange
"ROBOT HOME, INC.",168 JPY,9.52Cr,Other Real Estate Services,Tokyo Stock Exchange
"MATSUYA R&D CO.,LTD",665 JPY,9.52Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"SPEEE, INC.",1299 JPY,9.51Cr,Other IT Services & Consulting,Tokyo Stock Exchange
KVK CORPORATION,1720 JPY,9.5Cr,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
"THE ROYAL HOTEL, LIMITED",908 JPY,9.49Cr,Hotels & Motels,Tokyo Stock Exchange
"SAXA, INC.",2367 JPY,9.48Cr,Other Communications & Networking,Tokyo Stock Exchange
MANDARAKE INC.,416 JPY,9.48Cr,Other Miscellaneous Specialty Retailers,Tokyo Stock Exchange
AKATSUKI CORP.,450 JPY,9.46Cr,Brokerage Services,Tokyo Stock Exchange
"YAMAZAWA CO., LTD.",1277 JPY,9.45Cr,Supermarkets & Convenience Stores,Tokyo Stock Exchange
"DAISHO CO.,LTD.",1422 JPY,9.45Cr,Food Ingredients,Tokyo Stock Exchange
"FIRSTLOGIC,INC.",627 JPY,9.43Cr,Search Engines,Tokyo Stock Exchange
SYMBIO PHARMACEUTICALS LIMITED,287 JPY,9.42Cr,Other Pharmaceuticals,Tokyo Stock Exchange
"HOSHI IRYO-SANKI CO., LTD.",4385 JPY,9.42Cr,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"KUSURINOMADOGUCHI, INC.",1263 JPY,9.42Cr,Medical Software & Technology Services,Tokyo Stock Exchange
"TOBA, INC.",3460 JPY,9.38Cr,Industrial Machinery & Equipment Wholesale,Tokyo Stock Exchange
"KEIFUKU ELECTRIC RAILROAD CO.,LTD.",6850 JPY,9.36Cr,Rail Services,Tokyo Stock Exchange
"JAPAN FOUNDATION ENGINEERING CO., LTD.",725 JPY,9.36Cr,Other Construction & Engineering,Tokyo Stock Exchange
"ICHIMASA KAMABOKO CO., LTD.",738 JPY,9.34Cr,Other Food Processing,Tokyo Stock Exchange
"ZAOH COMPANY, LTD.",2501 JPY,9.33Cr,Industrial Machinery & Equipment Wholesale,Tokyo Stock Exchange
EIWA CORPORATION,2120 JPY,9.32Cr,Testing & Measuring Equipment,Tokyo Stock Exchange
"SANSHA ELECTRIC MANUFACTURING CO.,LTD.",1007 JPY,9.3Cr,Batteries & Uninterruptable Power Supplies,Tokyo Stock Exchange
HURXLEY CORPORATION,735 JPY,9.3Cr,Other Restaurants & Bars,Tokyo Stock Exchange
AMIYA CORPORATION,3265 JPY,9.29Cr,Security Software,Tokyo Stock Exchange
OZU CORPORATION,1603 JPY,9.28Cr,Other Textiles & Leather Goods,Tokyo Stock Exchange
"NASU DENKI-TEKKO CO., LTD.",11600 JPY,9.27Cr,Other Construction Materials,Tokyo Stock Exchange
SBI RHEOS HIFUMI INC,1344 JPY,9.27Cr,Other Investment Management & Fund Operators,Tokyo Stock Exchange
SPRIX INC.,769 JPY,9.26Cr,Professional & Business Education,Tokyo Stock Exchange
"TOHO ZINC CO., LTD.",1006 JPY,9.26Cr,Nonferrous Metal Processing,Tokyo Stock Exchange
KUSHIKATSU TANAKA HOLDINGS CO.,1478 JPY,9.24Cr,Commercial Food Services,Tokyo Stock Exchange
"MEDPEER,INC.",628 JPY,9.23Cr,Other Internet Services,Tokyo Stock Exchange
"MAMIYA-OP CO., LTD.",1288 JPY,9.22Cr,Gambling & Gaming Machine Manufacturers,Tokyo Stock Exchange
"NIHON HOUSE HOLDINGS CO., LTD.",337 JPY,9.22Cr,Residential Real Estate Development,Tokyo Stock Exchange
YAMADA CORPORATION,5550 JPY,9.2Cr,Pump & Pumping Equipment,Tokyo Stock Exchange
RAQUALIA PHARMA INC.,604 JPY,9.17Cr,Other Pharmaceuticals,Tokyo Stock Exchange
IBIS INC.,3655 JPY,9.16Cr,Other Software,Tokyo Stock Exchange
YCP HOLDINGS (GLOBAL) LIMITED,581 JPY,9.15Cr,Other Investment Management & Fund Operators,Tokyo Stock Exchange
SHIKIBO LTD.,1066 JPY,9.15Cr,Other Textiles & Leather Goods,Tokyo Stock Exchange
"NCS&A CO., LTD.",825 JPY,9.12Cr,Other IT Services & Consulting,Tokyo Stock Exchange
SAKURA KCS CORPORATION,1194 JPY,9.09Cr,Computer Programming,Tokyo Stock Exchange
NANYO CORPORATION,1050 JPY,9.08Cr,Industrial Machinery & Equipment Wholesale,Tokyo Stock Exchange
HIRAMATSU INC.,197 JPY,9.08Cr,Other Restaurants & Bars,Tokyo Stock Exchange
"FREAKOUT HOLDINGS, INC.",750 JPY,9.08Cr,Other Advertising & Marketing,Tokyo Stock Exchange
ENIGMO INC.,333 JPY,9.07Cr,E-commerce & Auction Services,Tokyo Stock Exchange
TECNOS JAPAN INCORPORATED,694 JPY,9.06Cr,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
"APAMAN CO., LTD.",728 JPY,9.02Cr,Other Real Estate Services,Tokyo Stock Exchange
"TOW CO.,LTD.",321 JPY,9Cr,Sales Promotions & Events Management,Tokyo Stock Exchange
"THE KEIHIN CO., LTD.",2035 JPY,8.99Cr,Other Ground Freight & Logistics,Tokyo Stock Exchange
"HUMAN TECHNOLOGIES, INC.",1398 JPY,8.97Cr,Enterprise Software,Tokyo Stock Exchange
FREUND CORPORATION,775 JPY,8.97Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"TONE CO., LTD.",1155 JPY,8.97Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"THINE ELECTRONICS, INC.",1198 JPY,8.97Cr,Other Semiconductors,Tokyo Stock Exchange
VELTRA CORPORATION,341 JPY,8.93Cr,Other Internet Services,Tokyo Stock Exchange
ONCOLYS BIOPHARMA INC.,626 JPY,8.91Cr,Biopharmaceuticals,Tokyo Stock Exchange
"MEDICAL SYSTEM NETWORK CO., LTD.",443 JPY,8.91Cr,Other Drug Retailers,Tokyo Stock Exchange
CEL CORPORATION,3810 JPY,8.9Cr,Other Real Estate Development & Operations,Tokyo Stock Exchange
"DN HOLDINGS CO.,LTD.",1600 JPY,8.89Cr,Civil Engineers & Architects,Tokyo Stock Exchange
"3-D MATRIX, LTD.",149 JPY,8.89Cr,Other Biotechnology & Medical Research,Tokyo Stock Exchange
SEMBA CORPORATION,1206 JPY,8.87Cr,Civil Engineers & Architects,Tokyo Stock Exchange
"AB&COMPANY CO.,LTD.",915 JPY,8.87Cr,Personal Care Services,Tokyo Stock Exchange
"SYNCHRO FOOD CO., LTD.",474 JPY,8.85Cr,Other Internet Services,Tokyo Stock Exchange
"MAINICHI COMNET CO., LTD.",714 JPY,8.85Cr,Residential Real Estate Development,Tokyo Stock Exchange
PICKLES CORPORATION,1018 JPY,8.85Cr,Fruit & Vegetable Processing,Tokyo Stock Exchange
"SATA CONSTRUCTION CO., LTD.",840 JPY,8.83Cr,Other Construction & Engineering,Tokyo Stock Exchange
"FUJITA ENGINEERING CO., LTD.",1408 JPY,8.82Cr,Other Construction & Engineering,Tokyo Stock Exchange
"BOUTIQUES, INC.",1354 JPY,8.81Cr,Other Business Support Services,Tokyo Stock Exchange
"PEGASUS CO., LTD.",518 JPY,8.81Cr,Industrial Machinery,Tokyo Stock Exchange
ACSL LTD.,855 JPY,8.8Cr,Advanced Electronic Equipment,Tokyo Stock Exchange
F-CODE INC.,1032 JPY,8.79Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"BROADBAND TOWER, INC.",212 JPY,8.78Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"TOKYO KAIKAN CO., LTD.",3820 JPY,8.77Cr,Other Restaurants & Bars,Tokyo Stock Exchange
"TOHO CHEMICAL INDUSTRY COMPANY, LIMITED",608 JPY,8.77Cr,Other Specialty Chemicals,Tokyo Stock Exchange
FRONTIER MANAGEMENT INC.,1107 JPY,8.76Cr,Management Consulting Services,Tokyo Stock Exchange
"AIDA SEKKEI CO.,LTD.",346 JPY,8.75Cr,Residential Real Estate Development,Tokyo Stock Exchange
CROSS MARKETING GROUP INC.,687 JPY,8.73Cr,Digital Media Agencies,Tokyo Stock Exchange
"GFOOT CO.,LTD.",298 JPY,8.73Cr,Other Apparel & Accessories Retailers,Tokyo Stock Exchange
"TAKANO CO.,LTD.",825 JPY,8.71Cr,Office Furniture,Tokyo Stock Exchange
REPROCELL INCORPORATED,138 JPY,8.7Cr,Biopharmaceuticals,Tokyo Stock Exchange
FUJIMAK CORPORATION,970 JPY,8.69Cr,Household Appliances,Tokyo Stock Exchange
"TAOKA CHEMICAL COMPANY, LIMITED",925 JPY,86.73M,Diversified Chemicals,Tokyo Stock Exchange
"KUNIMINE INDUSTRIES CO., LTD.",1033 JPY,86.53M,Rock Mining,Tokyo Stock Exchange
"TECHNO MEDICA CO., LTD.",1818 JPY,86.53M,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"NARUMIYA INTERNATIONAL CO., LTD.",1270 JPY,86.44M,Children & Infants Clothing,Tokyo Stock Exchange
"JIG.JP CO., LTD.",293 JPY,86.38M,Other Software,Tokyo Stock Exchange
"AIMECHATEC, LTD.",2055 JPY,86.24M,Semiconductor Machinery Manufacturing,Tokyo Stock Exchange
BASE FOOD INC.,234 JPY,86.08M,Bread & Bakery Product Manufacturing,Tokyo Stock Exchange
"TOHO ACETYLENE CO., LTD.",358 JPY,86.08M,Industrial Gas,Tokyo Stock Exchange
"R&D COMPUTER CO.,LTD.",697 JPY,86.07M,Other IT Services & Consulting,Tokyo Stock Exchange
"JAPAN ECOSYSTEM CO., LTD.",4360 JPY,85.97M,Other Electronic Equipment & Parts,Tokyo Stock Exchange
"JMS CO.,LTD.",511 JPY,85.88M,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
SANIX INCORPORATED,262 JPY,85.82M,Waste to Energy Systems & Equipment,Tokyo Stock Exchange
"THE TOTTORI BANK, LTD.",1317 JPY,85.56M,Commercial Banks,Tokyo Stock Exchange
KYORITSU ELECTRIC CORPORATION,3105 JPY,85.53M,Electrical Component,Tokyo Stock Exchange
FUJI OOZX INC.,1232 JPY,85.48M,Engine & Powertrain Systems,Tokyo Stock Exchange
UNICAFE INC.,929 JPY,85.37M,Coffee & Tea,Tokyo Stock Exchange
"JAPAN PROCESS DEVELOPMENT CO., LTD.",1280 JPY,85.35M,Computer Programming,Tokyo Stock Exchange
WILLS INC.,600 JPY,85.34M,Other Internet Services,Tokyo Stock Exchange
ATEAM INC.,684 JPY,85.29M,Other Internet Services,Tokyo Stock Exchange
JUKI CORPORATION,415 JPY,85.16M,Industrial Machinery,Tokyo Stock Exchange
"MINKABU THE INFONOID, INC.",823 JPY,85.13M,Financial Information Providers,Tokyo Stock Exchange
"CDS CO.,LTD.",1825 JPY,85M,Other IT Services & Consulting,Tokyo Stock Exchange
"GOKURAKUYU HOLDINGS CO., LTD.",400 JPY,84.98M,Other Personal Services,Tokyo Stock Exchange
"RACCOON HOLDINGS, INC.",584 JPY,84.95M,E-commerce & Auction Services,Tokyo Stock Exchange
KITAGAWA CORPORATION,1317 JPY,84.89M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"PIETRO CO., LTD.",1787 JPY,84.69M,Food Ingredients,Tokyo Stock Exchange
"GDEP ADVANCE,INC.",9020 JPY,84.61M,Servers & Systems,Tokyo Stock Exchange
"IMASEN ELECTRIC INDUSTRIAL CO., LTD.",571 JPY,84.48M,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
POPPINS CORPORATION,1343 JPY,84.44M,Child Care & Family Services,Tokyo Stock Exchange
"TAKE AND GIVE. NEEDS CO., LTD",837 JPY,84.28M,Other Personal Services,Tokyo Stock Exchange
TOKYO INFRASTRUCTURE ENERGY INVESTMENT CORPORATION - INFRASTRUCTURE FUND,67700 JPY,84.22M,Closed End Funds,Tokyo Stock Exchange
