Name ,Share price ,M Cap,Industry,Exchange
AISIN CORPORATION,5007 JPY,912.61Cr,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
OBAYASHI CORPORATION,1827 JPY,912.4Cr,Other Construction & Engineering,Tokyo Stock Exchange
"CAPCOM CO., LTD.",3181 JPY,911.41Cr,Other Software,Tokyo Stock Exchange
OTSUKA CORPORATION,3433 JPY,895.71Cr,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
WEST JAPAN RAILWAY COMPANY,2740 JPY,885.75Cr,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
TOPPAN INC.,4159 JPY,879.56Cr,Other Commercial Printing Services,Tokyo Stock Exchange
YASKAWA ELECTRIC CORPORATION,4861 JPY,876.86Cr,Other Electrical Components & Equipment,Tokyo Stock Exchange
"HIKARI TSUSHIN, INC.",29605 JPY,869.34Cr,Other Communications & Networking,Tokyo Stock Exchange
T&D HOLDINGS INC.,2391 JPY,867.87Cr,Life Insurance,Tokyo Stock Exchange
"YAMAHA MOTOR CO., LTD.",1268.5 JPY,862.72Cr,Motorcycles & Scooters,Tokyo Stock Exchange
MINEBEAMITSUMI INC.,3088 JPY,851.44Cr,Other Electronic Equipment & Parts,Tokyo Stock Exchange
KAJIMA CORPORATION,2600 JPY,848.76Cr,Other Construction & Engineering,Tokyo Stock Exchange
MAKITA CORPORATION,4720 JPY,847.71Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"JFE HOLDINGS, INC.",1942 JPY,846.24Cr,Other Steel,Tokyo Stock Exchange
MITSUBISHI CHEMICAL GROUP CORPORATION,859 JPY,840.94Cr,Diversified Chemicals,Tokyo Stock Exchange
"FUJI ELECTRIC CO., LTD",8478 JPY,827.52Cr,Other Electrical Components & Equipment,Tokyo Stock Exchange
"TORAY INDUSTRIES, INC.",746.7 JPY,817.46Cr,Other Commodity Chemicals,Tokyo Stock Exchange
"MONOTARO CO., LTD.",2350 JPY,815.87Cr,Internet & Mail Order Department Stores,Tokyo Stock Exchange
TAISEI CORPORATION,6367 JPY,800.8Cr,Other Construction & Engineering,Tokyo Stock Exchange
"DAI NIPPON PRINTING CO., LTD.",4923 JPY,798.7Cr,Other Commercial Printing Services,Tokyo Stock Exchange
"SUMITOMO FORESTRY CO., LTD.",5915 JPY,786.62Cr,Other Homebuilding,Tokyo Stock Exchange
"DAITO TRUST CONSTRUCTION CO.,LTD.",17680 JPY,781.85Cr,Other Real Estate Development & Operations,Tokyo Stock Exchange
DENTSU INC.,4389 JPY,777.86Cr,Advertising Agency,Tokyo Stock Exchange
FUJIKURA LTD.,4048 JPY,774.02Cr,Electrical Component,Tokyo Stock Exchange
"SUMITOMO METAL MINING CO., LTD.",4142 JPY,773.17Cr,Other Specialty Mining & Metals,Tokyo Stock Exchange
"NISSIN FOODS HOLDINGS CO.,LTD.",3756 JPY,772.98Cr,Ready-Made Meals,Tokyo Stock Exchange
"SCREEN HOLDINGS CO., LTD.",11200 JPY,767.85Cr,Other Semiconductor Equipment & Testing,Tokyo Stock Exchange
"TOKYO ELECTRIC POWER COMPANY HOLDINGS, INC.",689.4 JPY,763.58Cr,Other Electric Utilities,Tokyo Stock Exchange
OMRON CORPORATION,5763 JPY,758.77Cr,Other Electrical Components & Equipment,Tokyo Stock Exchange
TREND MICRO INC.,8523 JPY,752.63Cr,Other Software,Tokyo Stock Exchange
"HULIC CO., LTD.",1436 JPY,745.98Cr,Other Real Estate Development & Operations,Tokyo Stock Exchange
"ZENSHO HOLDINGS CO., LTD.",7246 JPY,740.33Cr,Other Restaurants & Bars,Tokyo Stock Exchange
"SBI HOLDINGS, INC.",3537 JPY,7.4B,Diversified Investment Services,Tokyo Stock Exchange
NIPPON BUILDING FUND INC.,640000 JPY,7.36B,Office REITs,Tokyo Stock Exchange
"JAPAN POST INSURANCE CO., LTD.",2773.5 JPY,7.34B,Life Insurance,Tokyo Stock Exchange
"JAPAN AIRLINES CO., LTD.",2409 JPY,7.19B,Other Airlines,Tokyo Stock Exchange
TOKYU CORPORATION,1763 JPY,7.16B,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
"DAIFUKU CO., LTD.",2800 JPY,7.09B,Elevator & Conveying Equipment,Tokyo Stock Exchange
