Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
"SHANDONG NANSHAN ALUMINIUM CO., LTD",3.65,96.522M,42.151B,Non-energy minerals
HAINAN AIRLINES HOLDING COMPANY LIMITED,1.06,70.552M,46.307B,Transportation
"HENAN TALOPH PHARMACEUTICAL STOCK CO.,LTD",4.35,5.963M,2.489B,Health technology
LUSHANG FREDA PHARMACEUTICAL,6.13,4.701M,6.323B,Finance
"IANJIN TROILA INFORMATION TECHNOLOGY CO.,LTD.",1.43,25.466M,5.083B,Finance
"ZHEJIANG HENGTONG HOLDING CO.,LTD.",1.95,8.124M,5.79B,Health technology
"GUIZHOU CHITIANHUA CO.,LTD.",1.41,11.871M,2.404B,Process industries
"FANLI DIGITAL TECHNOLOGY CO., LTD",4.5,4.867M,2.168B,Process industries
"QINGDAO CITYMEDIA CO,. LTD.",6.41,3.853M,4.437B,Retail trade
CANGZHOU DAHUA CO.LTD,9.57,1.893M,3.95B,Process industries
"LINGYUAN IRON & STEEL CO.,LTD.",1.39,5.249M,3.993B,Non-energy minerals
"ZHEJIANG GOLDEN EAGLE CO.,LTD.",4.34,2.688M,1.553B,Process industries
YTO EXPRESS GROUP,14.63,10.564M,50.296B,Transportation
"KEXIN DEVELOPMENT CO.,LTD,SHANXI",3.15,6.792M,813.815M,Commercial services
"MINFENG SPECIAL PAPER CO.,LTD.",4.4,3.163M,1.57B,Process industries
"GUANGXI GUIGUAN ELECTRIC POWER CO.,LTD.",6.85,9.338M,53.521B,Utilities
ANHUI TONGFENG ELECTRONICS COMPANY LIMITED,4.57,7.933M,2.939B,Electronic technology
"HAINAN YEDAO （GROUP）CO.,LTD",7.01,9.454M,3.312B,Consumer non-durables
"YUNNAN METROPOLITAN REAL ESTATE DEVELOPMENT CO.,LTD",1.87,17.047M,3.067B,Finance
"LIAONING SHIDAI WANHENG CO.,LTD.",4.99,1.465M,1.489B,Producer manufacturing
"QINGHAI HUADING INDUSTRIAL C0.,LTD.",2.92,5.264M,1.308B,Producer manufacturing
"VANTONE NEO DEVELOPMENT GROUP CO., LTD",6.28,24.534M,11.558B,Finance
SHAANXI CONSTRUCTION ENGINEERING GROUP CORPORATION LIMITED,3.43,6.411M,12.998B,Industrial services
LIUZHOU LIANGMIANZHEN,3.62,3.019M,2.019B,Consumer non-durables
"NANJING BUSINESS & TOURISM CORP.,LTD.",7.26,14.253M,2.37B,Distribution services
"XINJIANG GUANNONG CO.,LTD.",6.52,6.378M,5.127B,Process industries
"GUANGXI WUZHOU ZHONGHENG GROUP CO.,LTD.",2.26,17.093M,7.756B,Health technology
KINGSWOOD ENTERPRISE,1.71,11.077M,3.108B,Producer manufacturing
"GUANGHUI ENERGY CO.,LTD.",5.78,21.563M,37.095B,Energy minerals
DAHU AQUACULTURE,4.2,14.99M,1.997B,Process industries
BTG HOTELS（GROUP）CO.，LTD,11.46,12.851M,13.276B,Consumer services
RISING NONFERROUS METALS SHARE,24.1,1.335M,8.276B,Non-energy minerals
"ZHEJIANG YANKON GROUP CO.,LTD.",2.65,3.865M,3.404B,Producer manufacturing
"INNER MONGOLIA NORTH HAULER JOINT STOCK CO.,LTD.",16.6,4.639M,2.888B,Producer manufacturing
"YUNNAN JINGGU FORESTRY CO.,LTD",12.74,287.2K,1.647B,Non-energy minerals
"BEIJING URBAN CONSTRUCTION INVESTMENT& DEVELOPMENT CO.,LTD.",4.11,32.002M,8.211B,Finance
"ZHEJIANG HISUN PHARMACEUTICAL CO.,LTD",7.33,5.012M,8.724B,Health technology
"GUODIAN NANJING AUTOMATION CO.,LTD.",5.22,6.875M,5.284B,Producer manufacturing
"JIANGXI GANYUE EXPRESSWAY CO.,LTD.",4.76,14.051M,10.976B,Industrial services
AISINO CORPORATION,7.58,9.509M,14.175B,Technology services
SHANGHAI KAI KAI INDUSTRIAL,8.92,7.349M,1.725B,Consumer non-durables
ZHEJIANG JIAHUA ENERGY CHEMICAL INDUSTRY,7.49,6.731M,10.256B,Process industries
"JIANGSU HENGRUI PHARMACEUTICALS CO.,LTD.",43.93,53.735M,268.839B,Health technology
ORIENT INTERNATIONAL ENTERPRISE LTD.,5.37,1.931M,4.759B,Transportation
"CHONGQING PORT CO.,LTD.",3.57,2.335M,4.249B,Distribution services
NANJING CENTRAL EMPORIUM STOCKS,2.43,41.176M,2.749B,Retail trade
"SHAN XI HUA YANG NEW MATERIALS CO.,LTD.",2.57,2.487M,1.348B,Non-energy minerals
"NANJING IRON&STEEL CO.,LTD.",4.25,19.904M,26.215B,Non-energy minerals
"QIANJIANG WATER RESOURCES DEVELOPMENT CO.,LTD",7.69,1.785M,3.85B,Utilities
"SHANGHAI PUDONG CONSTRUCTION CO.,LTD.",5.2,4.286M,5.084B,Industrial services
"HENAN LINGRUI PHARMACEUTICAL CO., LTD",24.4,8.44M,13.724B,Health technology
"JIANGSU SAINTY CORP.,LTD.",2.79,5.367M,1.224B,Distribution services
"DAHENG NEW EPOCH TECHNOLOGY,INC.",6.49,14.011M,2.883B,Technology services
BRIGHT OCEANS INTER-TELECOM CORPORATION,1.22,1.192M,769.884M,Technology services
"SPIC YUANDA ENVIRONMENTAL?PROTECTION CO. ,LTD .",4.74,3.749M,3.756B,Utilities
HUBEI SANXIA NEW BUILDING MATERIALS CO.LTD,2.33,4.27M,2.726B,Process industries
EERDUOSI RESOURCES,8.1,4.032M,20.922B,Process industries
"ANGEL YEAST CO.,LTD",29.75,5.102M,26.303B,Consumer non-durables
BLUESTAR ADISSEO COMPANY,10.69,3.713M,28.75B,Process industries
"V V FOOD & BEVERAGE CO.,LTD",2.35,7.582M,3.718B,Consumer non-durables
"GUANGXI HUAXI NONFERROUS METAL CO.,LTD",15.88,5.809M,10.146B,Process industries
"XI'AN TYPICAL INDUSTRIES CO., LTD",3.41,2.443M,1.201B,Producer manufacturing
LIAONING SG AUTOMOTIVE GROUP,2.35,7.234M,1.628B,Producer manufacturing
"JIANGSHU HENGSHUN VINEGAR CO.,LTD",6.9,3.126M,7.732B,Consumer non-durables
"GANSU JIU STEEL GROUP HONG XING IRON & STEEL CO,LTD",1.18,9.312M,7.328B,Non-energy minerals
"SHANDONG HUATAI PAPER INDUSTRY SHAREHOLDING CO.,LTD",3.19,4.038M,4.869B,Process industries
"WANHUA CHEMICAL GROUP CO.,LTD.",69.9,6.975M,220.128B,Process industries
GUANGXI ENERGY CO.，LTD.,3.63,9.999M,5.335B,Utilities
"HENAN PINGGAO ELECTRIC CO.,LTD.",19.03,15.515M,25.144B,Producer manufacturing
ZHONGNONGFA SEED INDUSTRY GROUP,5.22,9.208M,5.833B,Distribution services
"SHANGHAI JAHWA UNITED CO., LTD",15.01,21.363M,11.144B,Consumer non-durables
JIANGXI HONGDU AVIATION INDUSTRY,20.09,14.998M,14.206B,Electronic technology
ANHUI XINLI FINANCE,5.44,38.508M,2.971B,Finance
"WEIFANG YAXING CHEMICAL CO.,LTD.",3.12,2.14M,1.225B,Process industries
"SHANGHAI ZHENHUA HEAVY INDUSTRIES CO.,LTD.",3.68,15.952M,15.118B,Producer manufacturing
TIANJIN JINTOU STATE-OWNED URBAN DEVELOPMENT,1.41,66.158M,1.67B,Finance
GRANDBLUE ENVIRONMENT COMPANY LIMITED,21.31,2.958M,17.359B,Industrial services
"HUAFA INDUSTRIAL CO.,LTD.ZHUHAI",5.53,24.527M,15.587B,Finance
TIBET TIANLU,5.89,262.272M,8.429B,Transportation
"WUXI COMMERCIAL MANSION GRAND ORIENT CO.,LTD",3.19,5.228M,2.858B,Retail trade
CNSIG INNER MONGOLIA CHEMICAL INDUSTRY,7.44,6.065M,11.086B,Process industries
TIANJIN PHARMACEUTICAL DA REN TANG GROUP CORPORATION LIMITED,28.04,5.19M,24.68B,Health technology
"TDG HOLDING CO.,LTD.",5.89,10.126M,7.438B,Producer manufacturing
"SICHUAN HONGDA CO.,LTD.",5.36,16.15M,11.135B,Non-energy minerals
GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,29.06,3.383M,45.09B,Health technology
"CHANGCHUN GAS CO.,LTD",3.7,2.252M,2.272B,Process industries
SINOMACH AUTOMOBILE,5.49,10.506M,8.421B,Retail trade
AUCMA COMPANY LIMITED,4.53,18.727M,3.644B,Consumer durables
MARKOR INTERNATIONAL HOME FURNISHINGS,1.36,26.607M,1.723B,Consumer durables
"XIZANG ZHUFENG RESOURCES CO.,LTD.",8.94,13.799M,8.383B,Non-energy minerals
CHINA PETROLEUM ENGINEERING,3.25,21.215M,18.313B,Process industries
CHINA FORTUNE LAND DEVELOPMENT CO.，LTD.,1.04,34.249M,4.07B,Finance
"SHAANXI AEROSPACE POWER HI-TECH CO.,LTD",7.83,15.144M,4.94B,Producer manufacturing
"WUHAN YANGTZE COMMUNICATION INDUSTRY GROUP CO.,LTD",15.36,3.997M,5.158B,Electronic technology
HENGLI PETROCHEMICAL,13.39,9.188M,94.254B,Process industries
"SHAN XI HUA YANG GROUP NEW ENERGY CO.,LTD.",6.94,16.989M,25B,Energy minerals
SHANDONG HI-SPEED COMPANY LIMITED,9.59,13.034M,46.774B,Transportation
YABAO PHARMACEUTICAL GROUP,5.52,7.139M,4.025B,Health technology
"ZHEJIANG LONGSHENG GROUP CO.,LTD",8.47,4.836M,27.653B,Process industries
"CHENGDU XUGUANG ELECTRONICS CO,.LTD",5.25,4.727M,4.413B,Producer manufacturing
"GANSU DUNHUANG SEED CO.,LTD.",4.49,4.707M,2.412B,Process industries
ROUTON ELECTRONIC,3.19,25.188M,1.545B,Producer manufacturing
"MUDANJIANG HENGFENG PAPER CO.,LTD.",5.95,1.847M,1.816B,Process industries
"CHINA TOURISM AND CULTURE INVESTMENT GROUP CO.,LTD",2.74,69.512M,1.51B,Commercial services
"XINJIANG TALIMU AGRICULTURE DEVELOPMENT CO.,LTD.",5.51,2.244M,2.133B,Consumer non-durables
"JILIN SINO-MICROELECTRONICS CO.,LTD",3.28,25.171M,3.284B,Electronic technology
INNOVATION NEW MATERIAL TECHNOLOGY,3.6,26.39M,15.321B,Non-energy minerals
JIANGXI COPPER COMPANY LIMITED,20.08,10.266M,59.616B,Non-energy minerals
"JIANXI LIANCHUANG OPTO-ELECTRONIC SCIENCE&TECHNOLOGY CO.,LTD",23.7,5.359M,10.824B,Electronic technology
"TONGHUA GRAPE WINE CO.,LTD.",2.28,1.736M,965.924M,Consumer non-durables
"NINGBO YUNSHENG CO.,LTD.",5.36,6.22M,5.961B,Process industries
"GUIZHOU REDSTAR DEVELOPING CO.,LTD.",9.01,2.498M,3.126B,Process industries
"GUANGXI WUZHOU COMMUNICATIONS CO.,LTD.",3.63,8.263M,5.859B,Transportation
SOUTHWEST SECURITIES CO.，LTD.,3.67,19.943M,22.347B,Finance
"JIANGSU SANFAME POLYESTER MATERIAL CO.,LTD.",1.17,5.53M,4.637B,Process industries
"WANXIANG DONEED CO. ,LTD.",6.6,2.117M,1.978B,Process industries
AVIC AIRBORNE SYSTEMS,11.79,13.296M,57.266B,Electronic technology
CHINESE UNIVERSE PUBLISHING AND MEDIA GROUP,13.62,9.859M,18.375B,Consumer services
"HANMA TECHNOLOGY GROUP CO.,LTD.",4.36,8.425M,2.781B,Consumer durables
"BEIJING CAPITAL DEVELOPMENT,CO.,LTD",2.05,9.58M,5.417B,Finance
JIANGSU EXPRESSWAY COMPANY LIMITED,14.08,8.761M,62.216B,Transportation
"HAOHUA CHEMICAL SCIENCE & TECHNOLOGY CORP., LTD.",26.54,767.844K,28.946B,Process industries
SHAANXI BAOGUANG VACUUM ELECTRIC DEVICE,7.84,1.475M,2.605B,Producer manufacturing
"JOINCARE PHARMACEUTICAL GROUP INDUSTRY CO.,LTD.",10.11,8.43M,18.97B,Health technology
"QINGHAI SPRING MEDICINAL RESOURCES TECHNOLOGY CO.,LTD",3.22,12.7M,1.843B,Commercial services
"GUANGDONG MINGZHU GROUP CO.,LTD.",3.43,1.29M,2.593B,Non-energy minerals
GEMDALE CORPORATION,3.44,140.858M,15.62B,Consumer durables
"BEIJING BASHI MEDIA CO,.LTD",3.28,42.367M,2.742B,Retail trade
HY ENERGY GROUP,2.56,1.589M,1.212B,Process industries
"FUJIAN LONGKING CO.,LTD",11.05,2.321M,12.119B,Producer manufacturing
NANTONG JIANGSHAN AGROCHEMICAL & CHEMICALS,11.9,6.558M,5.09B,Process industries
MINMETALS CAPITAL,4.15,17.817M,19.027B,Finance
AECC AERO SCIENCE AND TECHNOLOGY,14.57,3.156M,4.83B,Electronic technology
SHENGHE RESOURCES HOLDING CO. LTD,7.48,10.621M,13.444B,Non-energy minerals
"GUIZHOU PANJIANG REFINED COAL CO.,LTD.",5.26,7.474M,11.313B,Energy minerals
"HUADIAN LIAONING ENERGY DEVELOPMENT CO., LTD",2.26,16.8M,3.314B,Utilities
ANYUAN COAL INDUSTRY GROUP CO.，LTD.,1.83,5.981M,1.841B,Distribution services
"HLA GROUP CORP.,LTD.",5.85,45.259M,27.52B,Consumer non-durables
"FUSHUN SPECIAL STEEL CO.,LTD",5.01,24.929M,10.058B,Non-energy minerals
JIANGSU HONGDOU INDUSTRIAL,2.18,27.011M,4.892B,Consumer non-durables
"HENAN DAYOU ENERGY CO., LTD",2.36,5.395M,5.666B,Energy minerals
"BEIJING DYNAMIC POWER CO., LTD",3.39,4.699M,1.868B,Producer manufacturing
NARI TECHNOLOGY,23.9,18.783M,187.813B,Producer manufacturing
"SHANXI ANTAI GROUP CO.,LTD.",1.51,5.358M,1.52B,Non-energy minerals
"TANGSHAN SANYOU CHEMICAL INDUSTRIES CO.,LTD",5.09,10.874M,10.611B,Process industries
"BEIJING TEAMSUN TECHNOLOGY CO.,LTD",3.58,12.597M,4.046B,Technology services
"ZHEJIANG CHINA COMMODITIES CITY GROUP CO.,LTD.",7.83,18.789M,42.903B,Retail trade
XIANGTAN ELECTRIC MANUFACTURING,9.23,7.93M,12.313B,Producer manufacturing
"ANHUI JIANGHUAI AUTOMOBILE GROUP CORP.,LTD",19.73,76.384M,44.379B,Producer manufacturing
XINJIANG TIANRUN DAIRY,7.18,3.157M,2.318B,Consumer non-durables
SHANGHAI SHYNDEC PHARMACEUTICAL,11.97,6.672M,16.121B,Health technology
"HUBEI HUARONG HOLDING CO.,LTD.",6.43,8.583M,1.242B,Producer manufacturing
"KPC PHARMACEUTICALS, INC.",14.75,6.141M,11.086B,Health technology
"LIUZHOU CHEMICAL INDUSTRY CO., LTD",2.24,2.685M,1.829B,Process industries
XINJIANG QINGSONG BUILDING MATERIALS AND CHEMICALS (GROUP),3,4.552M,4.862B,Non-energy minerals
SHANDONG HUALU-HENGSHENG CHEMICAL CO.，LTD,21.93,10.831M,46.447B,Process industries
COSCO SHIPPING SPECIALIZED CARRIERS,5.36,8.94M,11.592B,Transportation
"BEIJING SANYUAN FOODS CO.,LTD.",3.72,4.5M,5.72B,Consumer non-durables
"GUANGDONG GUANHAO HIGH-TECH CO., LTD",2.57,6.327M,4.521B,Process industries
NORTH NAVIGATION CONTROL TECHNOLOGY,8.27,17.892M,12.333B,Electronic technology
"ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL CO.,LTD.",203.1,1.197M,123.071B,Health technology
"TONGWEI CO.,LTD",18.24,17.488M,84.412B,Process industries
"HENAN REBECCA HAIR PRODUCTS CO., LTD",2.07,4.842M,2.377B,Consumer non-durables
SINOMACH GENERAL MACHINERY SCIENCE & TECHNOLOGY,11.35,3.424M,1.677B,Producer manufacturing
"SHENZHEN KINGDOM SCI-TECH CO., LTD",9.05,6.273M,8.753B,Technology services
"HUAFANG CO.,LTD",1.9,6.083M,1.209B,Process industries
"NINGXIA BUILDING MATERIALS GROUP CO.,LTD",9.1,4.558M,4.423B,Non-energy minerals
"CHONGQING FULING ELECTRIC POWER INDUSTRIAL CO.,LTD.",9.12,17.813M,13.276B,Utilities
"BUT'ONE INFORMATION CORPORATION, XI'AN",14.62,1.106M,939.993M,Technology services
"BAOJI TITANIUM INDUSTRY CO., LTD",25.2,10.564M,12.045B,Non-energy minerals
"ZHUZHOU TIMES NEW MATERIALS TECHNOLOGY CO.,LTD.",9.07,5.664M,7.462B,Producer manufacturing
"SINO-PLATINUM METALS CO.,LTD.",12.49,3.553M,9.669B,Non-energy minerals
"HANGZHOU SILAN MICROELECTRONICS CO.,LTD.",18.45,32.925M,31.717B,Electronic technology
JIANGXI HONGCHENG ENVIRONMENT,11.49,6.911M,13.956B,Utilities
SHENZHEN GEOWAY,1.34,3.607M,771.134M,Electronic technology
"BEIJING AIRPORT HIGH-TECH PARK CO.,LTD.",8,2.796M,2.427B,Industrial services
"SHANDONG HOMEY AQUATIC DEVELOPMENT CO.,LTD.",1.43,9.152M,2.104B,Process industries
"TIANJIN BENEFO TEJING ELECTRIC CO.,LTD.",3.97,7.751M,4.214B,Producer manufacturing
"AEOLUS TYRE CO.,LTD",5.03,4.034M,3.697B,Consumer durables
"ANHUI LIUGUO CHEMICAL CO.,LTD.",4.03,2.822M,2.139B,Process industries
"WUXI HUAGUANG ENVIRONMENT & ENERGY GROUP CO.,LTD.",8.42,3.075M,7.839B,Producer manufacturing
"HUNAN COPOTE SCIENCE&TECHNOLOGY CO.,LTD.",11.52,3.336M,1.899B,Technology services
"HANGXIAO STEEL STRUCTURE CO.,LTD",2.18,9.805M,5.188B,Non-energy minerals
HUNAN CORUN NEW ENERGY CO.，LTD.,3.2,14.773M,5.426B,Producer manufacturing
ZHUZHOU QIANJIN PHARMACEUTICAL,10.09,2.832M,4.337B,Health technology
LINGYUN INDUSTRIAL CORPORATION LIMITED,7.96,6.894M,7.533B,Producer manufacturing
"SHUANGLIANG ECO-ENERGY SYSTEMS CO.,LTD",3.82,13.179M,7.238B,Producer manufacturing
CHINA SHIPBUILDING INDUSTRY GROUP POWER,22.48,9.552M,48.904B,Producer manufacturing
FUJIAN FUNENG CO.，LTD.,9.8,8.018M,25.058B,Utilities
"JIANGSU YANGNONG CHEMICAL CO.,LTD.",47.85,2.005M,19.522B,Process industries
"HENGTONG OPTIC-ELECTRIC CO.,LTD.",12.9,22.982M,32.001B,Producer manufacturing
TIANJIN TIANYAO PHARMACEUTICAL,3.6,3.416M,3.973B,Health technology
ZHONGJIN GOLD CORPORATION LIMITED,15.3,33.579M,74.746B,Non-energy minerals
"PENGXIN INTERNATIONAL MINING CO.,LTD",2.14,18.402M,4.787B,Distribution services
"LONG YUAN CONSTRUCTION GUOUP CO.,LTD",2.48,13.308M,3.901B,Industrial services
FUJIAN FYNEX TEXTILE SCIENCE & TECHNOLOGY CO.，LTD.,4.16,2.224M,1.14B,Process industries
JINXI AXLE COMPANY LIMITED,3.08,4.255M,3.77B,Producer manufacturing
"CHANGJIANG & JINGGONG STEEL BUILDING (GROUP) CO.,LTD",2.33,7.563M,4.75B,Producer manufacturing
"YUNNAN CHIHONG ZINC&GERMANIUM CO.,LTD.",5.06,44.729M,26.169B,Non-energy minerals
"FIBERHOME TELECOMMUNICATION TECHNOLOGIES CO.,LTD.",14.01,7.23M,16.953B,Electronic technology
SINOCHEM INTERNATIONAL CORPORATION,3.59,7.583M,12.886B,Distribution services
AEROSUN CORPORATION,17.01,96.933M,6.677B,Consumer durables
ANHUI CONSTRUCTION ENGINEERING GROUP CORPORATION LIMITED,4.12,8.519M,7.124B,Industrial services
DELUXE FAMILY,1.68,9.629M,2.724B,Finance
"SICHUAN XICHANG ELECTRIC POWER CO.,LTD",8.06,7.754M,2.96B,Utilities
TONGYI CARBON NEUTRAL TECHNOLOGY (XINJIANG),10.44,2.133M,2.053B,Process industries
"FANGDA SPECIAL STEEL TECHNOLOGY CO., LTD",3.77,6.738M,8.79B,Non-energy minerals
"SHANGHAI DATUN ENERGY RESOURSES CO.,LTD.",11.33,1.828M,8.225B,Energy minerals
"XINJIANG TIANFU ENERGY CO.,LTD",4.77,6.14M,6.606B,Utilities
BLACK PEONY (GROUP),3.43,5.384M,3.509B,Finance
CHINA NATIONAL MEDICINES CORPORATION LTD.,30.8,16.838M,24.959B,Health technology
"TENGDA CONSTRUCTION GROUP CO.,LTD.",1.96,7.45M,3.166B,Industrial services
JIANGSU LIANHUAN PHARMACEUTICAL,7.95,2.599M,2.278B,Health technology
"HAINAN AIRPORT INFRASTRUCTURE CO., LTD",3.29,21.446M,37.932B,Transportation
"FANGDA CARBON NEW MATERIAL CO.,LTD",4.24,14.811M,17.312B,Non-energy minerals
"STATE GRID YINGDA CO.,LTD.",4.03,6.494M,23.217B,Producer manufacturing
"KANGMEI PHARMACEUTICAL CO., LTD",1.78,78.384M,25.03B,Health technology
"KWEICHOW MOUTAI CO.,LTD.","1,410.05",1.953M,1.781T,Consumer non-durables
WENYI TRINITY TECHNOLOGY,16.58,22.262M,2.782B,Producer manufacturing
"ZHEJIANG HUAHAI PHARMACEUTICAL CO.,LTD.",17.08,5.939M,24.561B,Health technology
"JIANGSU ZHONGTIAN TECHNOLOGY CO.,LTD.",12.82,20.491M,43.725B,Producer manufacturing
"GUIZHOU GUIHANG AOTOMOTIVE COMPONENTS CO., LTD",9.84,3.072M,3.982B,Producer manufacturing
CHANGYUAN TECHNOLOGY GROUP LTD.,3.95,21.513M,5.036B,Producer manufacturing
"ZHEJIANG FEIDA ENVIRONMENTAL SCIENCE &TECHNOLOGY CO.,LTD.",3.5,4.43M,3.141B,Industrial services
"JIANGSU JIANGNAN HIGH POLYMER FIBER CO.,LTD",1.37,6.74M,2.39B,Process industries
CHINA RAILWAY HI-TECH INDUSTRY,7.15,6.132M,15.884B,Producer manufacturing
"SHANDONG PHARMACEUTICAL GLASS CO.,LTD",22.28,7.005M,15.197B,Process industries
"SHANGHAI JIAODA ONLLY CO.,LTD",2.6,4.767M,2.025B,Health technology
HENAN YUGUANG GOLD&LEAD CO.，LTD,5.4,16.898M,6.018B,Non-energy minerals
NANJING CHIXIA DEVELOPMENT,1.76,11.667M,1.858B,Finance
TASLY PHARMACEUTICA GROUP,13.52,7.824M,20.046B,Health technology
CHINA NATIONAL SOFTWARE & SERVICE COMPANY LIMITED,29,18.865M,24.791B,Technology services
EGING PHOTOVOLTAIC TECHNOLOGY,2.23,14.11M,2.681B,Electronic technology
BEIHAI GOFAR CHUANSHAN BIOLOGICAL,2.95,4.685M,1.573B,Health technology
"LIONHEAD TECHNOLOGY DEVELOPMENT CO.,LTD.",3.61,3.067M,832.6M,Non-energy minerals
"XINJIANG SAYRAM MODERN AGRICULTURE CO.,LTD.",3.29,3.828M,1.948B,Process industries
"GANSU MOGAO INDUSTRIAL DEVELOPMENT CO.,LTD.",3.95,6.3M,1.329B,Consumer non-durables
SAURER INTELLIGENT TECHNOLOGY,1.29,6.988M,2.201B,Producer manufacturing
"SHANXI COAL INTERNATIONAL ENERGY GROUP CO.,LTD",11.32,12.236M,22.739B,Energy minerals
"SHANDONG GOLD MINING CO.,LTD.",30.38,15.35M,123.652B,Non-energy minerals
SHENZHEN EXPRESSWAY CORPORATION LIMITED,11.18,3.645M,21.441B,Transportation
XIAMEN TUNGSTEN CORP.,15.96,9.587M,22.845B,Non-energy minerals
"BAODING TIANWEI BAOBIAN ELECTRIC CO.,LTD",4.53,14.333M,8.232B,Producer manufacturing
TIME PUBLISHING & MEDIA,7.52,5.587M,5.101B,Consumer services
"TRIUMPH SCIENCE & TECHNOLOGY CO., LTD",10.09,44.126M,9.304B,Process industries
INMYSHOW DIGITAL TECHNOLOGY （GROUP）,3.42,25.689M,6.418B,Commercial services
"JIANGSU KANION PHARMACEUTICAL CO.,LTD.",12.81,8.436M,7.333B,Health technology
"ATLANTIC CHINA WELDING CONSUMABLES,INC.",3.34,3.684M,3.025B,Producer manufacturing
HEBEI HENGSHUI LAOBAIGAN LIQUOR CO.，LTD.,16.72,14.487M,15.725B,Consumer non-durables
BEIJING ARITIME INTELLIGENT CONTROL,11.33,1.682M,2.579B,Electronic technology
JIANGXI CHANGYUN,4.65,28.142M,1.303B,Transportation
GLARUN TECHNOLOGY CO．，LTD．,12.51,4.119M,15.598B,Electronic technology
"XIAMEN FARATRONIC CO.,LTD.",73.49,1.091M,16.848B,Electronic technology
HUBEI JUMPCAN PHARMACEUTICAL,33.19,4.781M,30.831B,Health technology
SHANYING INTERNATIONAL HOLDINGS,1.42,14.225M,6.172B,Process industries
"ZHONGZHU HEALTHCARE HOLDING CO.,LTD",1.29,2.863M,2.611B,Health technology
"ANYANG LRON AND STEEL CO.,LTD",1.38,5.275M,4.021B,Non-energy minerals
HUNDSUN TECHNOLOGIES INC.,15.36,15.733M,29.798B,Technology services
SUNYARD SYSTEM ENGINEERING,8.57,10.973M,4.113B,Technology services
"ZHEJIANG CONBA PHARMACEUTICAL CO.,LTD.",4.18,16.076M,10.435B,Health technology
"FUJIAN YANJING HUIQUAN BREWERY CO.,LTD",9.37,1.355M,2.378B,Consumer non-durables
"HUAIHE ENERGY (GROUP) CO.,LTD",3.78,12.799M,14.279B,Transportation
"ZHEJIANG SUNRIVER CULTURE TOURISM CO.,",4.54,23.026M,5.048B,Consumer services
"TONGLING JINGDA SPECIAL MAGNET WIRE CO.,LTD.",4.99,115.786M,10.398B,Producer manufacturing
"BEIJING JINGNENG POWER CO.,LTD.",3.23,18.079M,21.423B,Utilities
KRAUSSMAFFEI COMPANY LIMITED,5.07,5.334M,2.547B,Producer manufacturing
WOLONG ELECTRIC GROUP CO.，LTD.,10.37,19.127M,13.966B,Producer manufacturing
"XINJIANG BA YI IRON & STEEL CO., LTD",2.49,6.078M,3.909B,Non-energy minerals
"TIANDI SCIENCE & TECHNOLOGY CO.,LTD",5.56,19.132M,22.928B,Producer manufacturing
OFFSHORE OIL ENGINEERING,5.35,20.82M,24.229B,Industrial services
JCET GROUP,30.16,20.335M,54.72B,Electronic technology
ANHUI CONCH CEMENT COMPANY LIMITED,21.26,20.994M,106.738B,Non-energy minerals
"SHANDONG JINJING SCIENCE & TECHNOLOGY CO.,LTD",5,11.716M,7.287B,Process industries
"SHINVA MEDICAL INSTRUMENT CO.,LTD.",16.02,1.871M,9.719B,Distribution services
YONYOU NETWORK TECHNOLOGY,8.21,16.392M,28.852B,Technology services
"GUANGDONG RONGTAI INDUSTRY CO.,LTD",2.41,7.013M,3.607B,Process industries
"TELLHOW SCI-TECH CO.,LTD.",3.33,4.114M,2.803B,Producer manufacturing
"FUJIAN LONGXI BEARING （GROUP）CO.,LTD.",8.15,4.685M,3.36B,Producer manufacturing
"DALIAN SUNAISA TOURISM HOLDINGS CO.,LTD",15.9,2.799M,2.13B,Consumer services
GUIZHOU YIBAI PHARMACEUTICAL,3.02,5.147M,2.423B,Health technology
"HENAN ZHONGFU INDUSTRY CO.,LTD",2.31,23.009M,9.303B,Non-energy minerals
"ZHEJIANG XINAN CHEMICAL INDUSTRIAL GROUP CO.,LTD",7.15,18.351M,10.243B,Process industries
"BRIGHT DAIRY & FOOD CO.,LTD",7.69,7.28M,10.738B,Consumer non-durables
HEILONGJIANG AGRICLTURE COMPANY LIMITED,12.81,6.828M,23.039B,Process industries
"PANDA FINANCIAL HOLDING CORP., LTD.",9.07,1.287M,1.516B,Distribution services
TSINGTAO BREWERY COMPANY LIMITED,57.91,9.402M,68.089B,Consumer non-durables
FOUNDER TECHNOLOGY GROUP,2.73,67.291M,11.76B,Electronic technology
INESA INTELLIGENT TECH INC.,9.37,11.509M,11.142B,Electronic technology
GUANGHUI LOGISTICS,4.67,13.564M,5.495B,Finance
"SHANGHAI SHIBEI HI-TECH CO.,LTD.",3.44,4.3M,5.327B,Producer manufacturing
"SHANGHAI HUITONG ENERGY CO.,LTD.",27.1,1.12M,5.658B,Producer manufacturing
GREENLAND HOLDINGS CORPORATION LIMITED,1.35,41.262M,19.114B,Finance
