Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
WEIFU HIGH-TECH,15.67,7.907M,14.677B,Producer manufacturing
BEIBU GULF PORT CO,7.87,6.36M,17.739B,Transportation
JIANGSU HAGONG INT,1.76,28.736M,1.347B,Process industries
SICHUAN HUIYUAN OP,6.91,5.921M,1.385B,Producer manufacturing
GUI ZHOU TYRE CO,4.37,20.493M,6.968B,Consumer durables
TUS- PHARMACEUTICA,5.06,2.007M,1.221B,Health technology
CECEP SOLAR ENERGY,4.03,23.478M,13.617B,Utilities
ZHONGFU STRAITS (P,1.32,14.549M,2.589B,Non-energy minerals
DELONG COMPOSITE E,4.43,2.879M,1.607B,Utilities
BAOTA INDUSTRY CO,4.15,65.651M,4.567B,Producer manufacturing
ANHUI GUJING DISTL,170.19,2.411M,83.531B,Consumer non-durables
NORTHEAST PHARMACE,4.2,49.372M,6.131B,Health technology
CHENGDU XINGRONG E,8.02,15.236M,23.412B,Utilities
QINGDAO DOUBLESTAR,3.28,3.723M,2.712B,Consumer durables
H/JIONTO ENERGY IN,4.76,10.664M,8.667B,Utilities
GUANGDONG SHAONENG,3.57,3.27M,3.89B,Utilities
SHENGDA RESOURCES,10.4,10.792M,7.479B,Non-energy minerals
BOHAI WATER INDUST,4.41,3.218M,1.583B,Utilities
ZHEJIANG HUAMEI HO,2.98,6.034M,3.114B,Consumer services
YANG GUANG CO LT,1.42,6.765M,1.072B,Non-energy minerals
BEIJING ZODI INVES,1.81,3.616M,529.7M,Finance
XI'AN TOURISM CO.,10.69,4.93M,2.623B,Consumer services
JIAOZUO WANFANG AL,5.22,14.653M,6.331B,Non-energy minerals
AOYUAN BEAUTY VALL,1.82,23.641M,1.377B,Finance
CNPC CAPITAL COMPA,5.29,32.042M,67.635B,Finance
CONCH (ANHUI) ENER,3.73,2.945M,1.672B,Non-energy minerals
MACROLINK CULTURAL,1.38,23.174M,8.279B,Finance
HENGLI INDUSTRIAL,1.94,7.006M,803.677M,Producer manufacturing
JILIN AODONG PHARM,12.88,3.794M,15.232B,Health technology
CHONG QING CHANGAN,11.87,162.009M,106.327B,Consumer durables
GRAND INDUSTRIAL H,4.11,2.817M,2.122B,Distribution services
HUBEI BIOCAUSE PH,1.7,17M,8.547B,Health technology
CHENGDU HI-TECH DE,37.46,12.297M,13.619B,Consumer durables
PANGANG GP VANADIU,2.26,45.42M,21.701B,Process industries
TONGLING NONFERROU,3.06,112.044M,39.141B,Non-energy minerals
SHUNFA HENGNENG CO,2.27,4.16M,5.077B,Finance
FUJIAN SANMU GROUP,2.52,6.862M,1.187B,Distribution services
XINJIANG HEJIN HLD,3.64,3.689M,1.436B,Non-energy minerals
N/YINGLIGHT CHEMIC,5.71,1.935M,1.772B,Process industries
FENGHUA ADV TECH,13.22,9.308M,15.608B,Electronic technology
MAOMING PETRO-CHEM,3.17,1.355M,1.669B,Process industries
VANFUND URBAN INVE,3.43,5.89M,1.069B,Technology services
XIWANG FOODSTUFFS,2.25,9.399M,2.461B,Consumer non-durables
RENHE PHARMACY CO,5.33,13.462M,7.408B,Health technology
GREE ELEC APPLICAN,41.26,32.486M,218.921B,Producer manufacturing
TIANJIN TEDA CO. L,2.97,5.435M,4.441B,Distribution services
SHANDONG JINLING M,5.19,2.188M,3.179B,Non-energy minerals
JINKE PROPERTY GRO,1.15,67.778M,5.974B,Finance
