Name,Stock Price,Market cap,Percentage change,Industry
B B TRIPLEWALL CONTAINERS         ,239.35,5.86Cr,-13.86%,Other Paper Packaging
VIVIANA POWER TECH LIMITE          ,862.55,5.85Cr,382.14%,Other Electric Utilities
SAKTHI FINANCE LIMITED         ,77.94,5.84Cr,61.30%,Consumer Leasing
RAGHUVIR SYNTHETICS LIMIT         ,124.95,5.84Cr,0.20%,Fabric Dyeing & Finishing
BHARAT AGRI FERT AND REAL         ,91.95,5.82Cr,-2.13%,Other Agricultural Chemicals
ARYAMAN FINANCIAL SERVICE         ,420.35,5.81Cr,125.69%,Other Investment Banking & Brokerage Services
MOS UTILITY LIMITED          ,197.9,5.8Cr,124.89%,Financial Technology (Fintech) (NEC)
EURO PANEL PRODUCTS LIMIT          ,195,5.79Cr,1.62%,Primary Aluminum Production
GEM ENVIRO MANAGEMENT LIM          ,214.05,5.77Cr,0.00%,"Waste Management, Disposal & Recycling Services"
MARKOLINES PAVEMENT TECHN          ,254.3,5.77Cr,92.58%,Other Highways & Rail Tracks
JENBURKT PHARMACEUTICALS          ,"1,159.95",5.77Cr,70.54%,Other Pharmaceuticals
AELEA COMMODITIES LIMITED          ,215.5,5.76Cr,0.00%,Sugarcane Farming
VIBHOR STEEL TUBES LIMITE          ,253.6,5.74Cr,0.00%,Other Steel
ABAN OFFSHORE LIMITED        ,78.02,5.72Cr,48.07%,Other Oil & Gas Drilling
VALIANT LABORATORIES LIMI          ,110.12,5.71Cr,-36.42%,Other Specialty Chemicals
SOFTTECH ENGINEERS LIMITE         ,365.45,5.71Cr,58.96%,Application Software
DAI ICHI KARKARIA LIMITED         ,628,5.7Cr,64.55%,Other Specialty Chemicals
CRESSANDA RAILWAY SOLUTIO         ,11.37,5.69Cr,-55.25%,Other IT Services & Consulting
MANAKSIA COATED METALS IN         ,63.13,5.68Cr,123.87%,Other Steel
VENUS REMEDIES LIMITED        ,353.25,5.68Cr,-12.98%,Other Pharmaceuticals
KANORIA ENERGY INFRASTRUC         ,55.5,5.66Cr,91.91%,Other Construction Supplies & Fixtures
AMBALAL SARABHAI ENTERPRI         ,67.11,5.66Cr,76.51%,Generic Pharmaceuticals
OK PLAY INDIA LIMITED         ,16.77,5.65Cr,-0.86%,Other Toys & Juvenile Products
HI GREEN CARBON LIMITED          ,189.2,5.64Cr,17.92%,Other Specialty Chemicals
BATLIBOI LIMITED         ,145.2,5.64Cr,81.48%,Machine Tools
BOMBAY OXYGEN INVESTMENTS         ,"32,664.15",5.61Cr,147.23%,Other Holding Companies
INDIAN EMULSIFIERS LIMITE          ,358.65,5.61Cr,0.00%,Other Specialty Chemicals
INDIAN BRIGHT STEEL COMPA         ,169.3,5.6Cr,190.54%,Other Steel
QUEST CAPITAL MARKETS LIM         ,551.65,5.6Cr,41.50%,Other Investment Banking & Brokerage Services
LE MERITE EXPORTS LIMITED          ,199,5.59Cr,373.81%,Yarn Goods
SAKTHI SUGARS LIMITED        ,38.66,5.58Cr,34.80%,Sugar & Artificial Sweeteners
MAWANA SUGARS LIMITED         ,117.25,5.58Cr,21.00%,Sugar & Artificial Sweeteners
MADHUVEER COM    NETWORK          ,137.9,5.57Cr,20.15%,Other Entertainment Production
KOTHARI SUGARS AND CHEMIC        ,55.33,5.54Cr,4.99%,Sugar & Artificial Sweeteners
PASUPATI ACRYLON LIMITED         ,50.95,5.54Cr,35.98%,Synthetic Fabrics
PROZONE REALTY LIMITED         ,30.73,5.54Cr,-9.43%,Other Real Estate Development & Operations
RANE ENGINE VALVE LIMITED         ,587.5,5.54Cr,60.80%,Engine & Powertrain Systems
SWARAJ SUITING LIMITED          ,313.4,5.54Cr,213.56%,Other Textiles & Leather Goods
DYNEMIC PRODUCTS LIMITED         ,390,5.54Cr,29.61%,Coloring Agent
VIPUL LIMITED         ,34.52,5.53Cr,98.05%,Other Real Estate Development & Operations
EMKAY GLOBAL FINANCIAL SE        ,189,5.5Cr,33.05%,Other Investment Banking & Brokerage Services
NEPHRO CARE INDIA LIMITED          ,280,5.48Cr,0.00%,Other Healthcare Facilities & Services
PODDAR PIGMENTS LIMITED         ,433.85,5.47Cr,14.82%,Coloring Agent
GOKUL REFOILS SOLVENT LIM        ,49.48,5.46Cr,-8.29%,"Starch, Vegetable Fat & Oil Manufacturing"
SUPERSHAKTI METALIKS LIMI          ,398.95,5.45Cr,-13.27%,"Iron, Steel Mills & Foundries"
RIDDHI SIDDHI GLUCO BIOLS        ,709.15,5.45Cr,52.65%,Fishing & Farming Wholesale
INTEGRA ESSENTIA LIMITED         ,4.27,5.44Cr,22.00%,Other Textiles & Leather Goods
MODI NATURALS LIMITED         ,328.55,5.44Cr,31.11%,"Starch, Vegetable Fat & Oil Manufacturing"
ROYAL INDIA CORPORATION L         ,43.51,5.42Cr,993.22%,
PREMIER POLYFILM LTD         ,217.25,5.41Cr,33.12%,Flooring & Interior Tile Manufacturers
MANGALAM ORGANICS LIMITED         ,505.9,5.36Cr,33.80%,Diversified Chemicals
CEENIK EXPORTS INDIA LIMI         ,"1,367.90",5.36Cr,1141.40%,Other Textiles & Leather Goods
GALAXY BEARINGS LIMITED         ,"1,422.65",5.35Cr,-4.30%,Ball & Roller Bearings
EURO INDIA FRESH FOODS LI         ,176.59,5.35Cr,11.55%,Other Food Processing
KRISHCA STRAPPING SOLUTIO          ,388.2,5.35Cr,76.45%,Other Steel
PONNI SUGARS ERODE LIMITE         ,508.15,5.34Cr,24.27%,Sugar & Artificial Sweeteners
SWADESHI POLYTEX LIMITED         ,117.3,5.33Cr,27.57%,Other Real Estate Development & Operations
KRISHIVAL FOODS LIMITED          ,225,5.31Cr,-17.28%,Other Food Processing
MENON PISTONS LIMITED         ,86.97,5.3Cr,5.52%,"Other Auto, Truck & Motorcycle Parts"
NEWJAISA TECHNOLOGIES LIM          ,137.35,5.27Cr,-5.28%,Other Computer & Electronics Retailers
GUJARAT APOLLO INDUSTRIES        ,400.65,5.27Cr,53.51%,Mining Machinery & Equipment Manufacturing
LOGICA INFOWAY LIMITED          ,255.6,5.27Cr,91.70%,Mobile Phone Retailers
INDO NATIONAL LIMITED         ,614,5.24Cr,-21.97%,Batteries & Uninterruptable Power Supplies
POSITRON ENERGY LIMITED          ,606.1,5.23Cr,0.00%,
RUCHIRA PAPERS LIMITED        ,144.75,5.23Cr,8.06%,Paper Mills & Products
GRAVISS HOSPITALITY LIMIT         ,58.55,5.23Cr,21.93%,Hotels & Motels
AION TECH SOLUTIONS LIMIT         ,123.6,5.22Cr,-2.02%,Other IT Services & Consulting
SHEETAL COOL PRODUCTS LIM          ,440,52.12M,31.54%,Other Food Processing
LEHAR FOOTWEARS LIMITED         ,241.95,52.07M,72.51%,Other Footwear
SUYOG GURBAXANI FUNICULAR          ,168.3,52.06M,110.48%,Other Construction & Engineering
SHRI KESHAV CEMENTS AND I         ,255.35,52.02M,10.66%,Other Construction Materials
HARRISONS MALAYALAM LIMIT        ,234.4,52.01M,33.56%,Other Fishing & Farming
SHEMAROO ENTERTAINMENT LI         ,158.18,51.87M,-1.35%,Television Broadcasting
VIP CLOTHING LIMITED         ,46.85,51.85M,1.56%,Other Apparel & Accessories
KINETIC ENGINEERING LIMIT         ,192.2,51.83M,40.75%,"Other Auto, Truck & Motorcycle Parts"
AVP INFRACON LIMITED          ,175.2,51.77M,0.00%,Other Construction & Engineering
NATH BIO GENES INDIA LIMI         ,226.22,51.7M,9.07%,Other Fishing & Farming
IL FS INVESTMENT MANAGERS        ,13.09,51.63M,10.93%,Investment Management
SAAKSHI MEDTECH AND PANEL          ,245,51.61M,12.59%,Other Electrical Components & Equipment
THAAI CASTING LIMITED          ,183.15,51.59M,0.00%,Automotive Body Parts
CL EDUCATE LIMITED         ,87.89,51.42M,-13.28%,Other Personal Services
COOL CAPS INDUSTRIES LIMI          ,372,51.03M,-24.24%,Plastics
GOURMET GATEWAY INDIA LIM         ,29.59,50.84M,-29.35%,Investment Management
DCM NOUVELLE LIMITED          ,228.03,50.82M,31.43%,Yarn Goods
THE LAKSHMI MILLS COMPANY         ,"6,215.60",50.77M,57.37%,Other Textiles & Leather Goods
BHARAT ROAD NETWORK LIMIT          ,50.64,50.72M,1.58%,Other Construction & Engineering
Z TECH INDIA LIMITED          ,335.5,50.58M,0.00%,Civil Engineers & Architects
SHISH INDUSTRIES LIMITED         ,117.6,50.51M,12.81%,Plastics
UNIVERSUS PHOTO IMAGINGS           ,386.25,50.45M,-10.38%,Photographic Equipment
SUNDARAM BRAKE LININGS LI        ,"1,136.30",50.41M,70.04%,"Other Auto, Truck & Motorcycle Parts"
