Name,Stock Price,Market cap,Percentage change,Industry
HIMALAYA FOOD INTERNATION         ,22.02,15.22M,12.69%,Other Food Processing
THREE M PAPER BOARDS LIMI          ,66.76,15.21M,0.00%,Other Paper Products
IND SWIFT LIMITED         ,24.07,15.19M,34.62%,Other Pharmaceuticals
APM INDUSTRIES LIMITED         ,58.67,15.19M,14.01%,Yarn Goods
NATIONAL FITTINGS LIMITED         ,139.8,15.17M,-10.04%,Plumbing Fixtures & Fittings
D H INDIA LIMITED         ,170.05,15.16M,122.08%,Welding & Soldering Equipment
ZENITH STEEL PIPES INDUST         ,8.9,15.11M,11.95%,"Iron, Steel Mills & Foundries"
WOMANCART LIMITED          ,300,15.06M,127.79%,Beauty Supply Shop
BANKA BIOLOO LIMITED         ,115.33,15.03M,9.68%,"Waste Management, Disposal & Recycling Services"
REGENCY CERAMICS LIMITED        ,49.86,14.98M,37.54%,Flooring & Interior Tile Manufacturers
AJOONI BIOTECH LIMITED         ,7.65,14.98M,19.53%,Animal Feed
ADTECH SYSTEMS LIMITED          ,106.75,14.98M,0.00%,Security Services
AURO LABORATORIES LIMITED         ,198.6,14.96M,53.60%,Other Pharmaceuticals
KG PETROCHEM LIMITED         ,210.5,14.96M,3.59%,Other Textiles & Leather Goods
VISHAL BEARINGS LIMITED         ,120.75,14.95M,-34.73%,Ball & Roller Bearings
ASARFI HOSPITAL LIMITED          ,62.56,14.94M,-26.40%,"Hospitals, Clinics & Primary Care Services"
CNI RESEARCH LIMITED         ,11.11,14.93M,378.88%,Market Research
PARNAX LAB LIMITED         ,111.1,14.93M,26.02%,Biopharmaceuticals
SHETRON LIMITED         ,139.7,14.92M,36.56%,Metal Containers & Packaging
ABHINAV CAPITAL SERVICES          ,172.95,14.87M,42.11%,Investment Management
MRP AGRO LIMITED          ,124.95,14.85M,190.58%,Fishing & Farming Wholesale
SHANTI SPINTEX LIMITED          ,73,14.82M,-1.23%,Other Textiles & Leather Goods
FUTURE RETAIL LIMITED         ,2.28,14.75M,-39.20%,Supermarkets & Convenience Stores
JASCH INDUSTRIES LIMITED        ,179,14.74M,-67.68%,Fabric Dyeing & Finishing
SUVIDHAA INFOSERVE LIMITE          ,5.94,14.7M,-43.43%,Other IT Services & Consulting
INTEGRATED PERSONNEL SERV          ,170.55,14.66M,-16.03%,Human Resources Consulting Services
GOEL FOOD PRODUCTS LIMITE          ,65.15,14.65M,137.77%,Banquet Halls & Catering
TULIVE DEVELOPERS LIMITED         ,559.1,14.65M,221.32%,Agriculture Support Services
SWASHTHIK PLASCON LIMITED          ,72,14.65M,-35.53%,Plastic Containers & Packaging
SECUREKLOUD TECHNOLOGIES          ,37.53,14.65M,-22.33%,Cloud Computing Services
PARAS PETROFILS LIMITED          ,3.74,14.64M,71.56%,Shell Companies
RESONANCE SPECIALTIES LIM         ,105.5,14.6M,-5.67%,Other Specialty Chemicals
TRANSCORP INTERNATIONAL L         ,37.58,14.53M,-2.77%,Other Investment Banking & Brokerage Services
DYNAVISION LIMITED         ,313.9,14.45M,49.41%,Other Recreational Products
AKAR AUTO INDUSTRIES LIMI         ,120.6,14.44M,-19.41%,Other Industrial Machinery & Equipment
EXPO GAS CONTAINERS LTD         ,55.46,14.37M,241.29%,Other Industrial Machinery & Equipment
SIMMONDS MARSHALL LIMITED         ,109.53,14.35M,27.24%,Other Industrial Machinery & Equipment
MERCURY LABORATORIES LIMI         ,999.45,14.35M,-2.93%,Specialty & Advanced Pharmaceuticals
SUPER TANNERY LIMITED         ,12.05,14.34M,37.09%,Leather Goods
KEMP AND COMPANY LIMITED         ,"1,101.00",14.2M,4.96%,Handbags & Luggage Retailers
VINNY OVERSEAS LIMITED         ,4.83,14.13M,27.11%,Other Textiles & Leather Goods
RASI ELECTRODES LIMITED         ,43.35,14.11M,87.58%,Welding & Soldering Equipment
AHASOLAR TECHNOLOGIES LIM          ,402.55,14.1M,26.23%,Enterprise Software
MARUTI INTERIOR PRODUCTS           ,78,14.05M,-16.58%,Kitchen Cabinets
ALKALI METALS LIMITED         ,114.65,14.03M,-16.28%,Other Commodity Chemicals
AVISHKAR INFRA REALTY LIM         ,52.44,14.02M,33.88%,
INTER GLOBE FINANCE LIMIT         ,124.7,14M,268.72%,Other Corporate Financial Services
MCON RASAYAN INDIA LIMITE          ,182.05,13.99M,5.54%,Construction Material Wholesale
DAMODAR INDUSTRIES LIMITE         ,49.97,13.96M,0.64%,Yarn Goods
TIMES GUARANTY LIMITED         ,130,13.95M,-4.35%,Other Corporate Financial Services
ADVIK CAPITAL LIMITED          ,2.73,13.95M,30.00%,Other Corporate Financial Services
TILAK VENTURES LIMITED         ,5.49,13.93M,20.13%,Other Investment Banking & Brokerage Services
BLUE PEBBLE LIMITED          ,277.35,13.87M,0.00%,Design Services
DURLAX TOP SURFACE LIMITE          ,69.15,13.85M,0.00%,Other Construction Supplies & Fixtures
SHRI KRISHNA DEVCON LIMIT         ,40.16,13.85M,-8.23%,Other Real Estate Development & Operations
UNITED COTFAB LIMITED          ,64.44,13.84M,0.00%,Other Textiles & Leather Goods
TWENTYFIRST CENTURY MANAG         ,112.65,13.84M,243.45%,Other Investment Banking & Brokerage Services
THE GROB TEA COMPANY LIMI         ,"1,027.05",13.81M,12.55%,Other Food Processing
EXCEL REALTY N INFRA LIMI         ,0.8,13.8M,90.48%,E-commerce & Auction Services
VIRYA RESOURCES LIMITED         ,770,13.78M,11.81%,Coal Wholesale
SAMEERA AGRO AND INFRA LI          ,109.65,13.78M,0.00%,Other Homebuilding
JAMES WARREN TEA LIMITED         ,310,13.76M,20.09%,Coffee & Tea
FORTIS MALAR HOSPITALS LI         ,61.8,13.75M,5.01%,Other Healthcare Facilities & Services
CADSYS INDIA LIMITED         ,154.4,13.74M,-29.82%,Other IT Services & Consulting
A K SPINTEX LIMITED          ,230,13.72M,77.33%,Fabric Dyeing & Finishing
YOGI LIMITED         ,52.16,13.7M,80.73%,Investment Management
HARYANA CAPFIN LIMITED         ,217.9,13.7M,55.64%,Other Consumer Lending
TOKYO PLAST INTERNATIONAL        ,120.36,13.69M,1.78%,Plastic Containers & Packaging
CONSTRONICS INFRA LIMITED         ,93.28,13.67M,467.74%,Construction Material Wholesale
MODERN DAIRIES LIMITED         ,50.01,13.65M,72.63%,Dairy Products
RETINA PAINTS LIMITED          ,82,13.64M,50.46%,Paint & Coating
SHALIMAR WIRES INDUSTRIES         ,26.28,13.64M,-1.09%,Other Textiles & Leather Goods
DANGEE DUMS LIMITED         ,7.43,13.63M,-33.96%,Frozen Food Manufacturing
HINDUSTAN APPLIANCES LIMI          ,56.6,13.61M,254.64%,Other Textiles & Leather Goods
SOMA TEXTILES INDUSTRIES          ,34.18,13.59M,54.73%,Yarn Goods
RACHANA INFRASTRUCTURE LI          ,60.8,13.59M,-30.95%,Highway & Bridge Construction
SATTRIX INFORMATION SECUR          ,175.5,13.58M,0.00%,Other IT Services & Consulting
POLYCHEM LIMITED         ,"2,767.10",13.49M,-4.58%,Other Specialty Chemicals
ASIT C MEHTA FINANCIAL SE         ,138.05,13.48M,-9.06%,Other Investment Management & Fund Operators
HOLMARC OPTO MECHATRONICS          ,112.3,13.47M,13.89%,Scientific & Precision Equipment
VIPPY SPINPRO LIMITED         ,211,13.46M,31.88%,Yarn Goods
BLB LIMITED        ,20.87,13.44M,-5.78%,Brokerage Services
KESAR TERMINALS INFRASTRU         ,103.95,13.42M,6.90%,Warehousing
VEEKAYEM FASHION AND APPA          ,183.45,13.39M,130.18%,Other Textiles & Leather Goods
ADITYA CONSUMER MARKETING         ,76.2,13.32M,15.02%,Other Food Retail & Distribution
BALGOPAL COMMERCIAL LIMIT          ,70.93,13.31M,134.79%,Other Apparel & Accessories Retailers
DHANASHREE ELECTRONICS LI          ,78.3,13.27M,-10.57%,Lighting Equipment
PICTUREPOST STUDIOS LIMIT          ,35.3,13.27M,0.00%,Other Entertainment Production
KONTOR SPACE LIMITED          ,184,13.26M,141.79%,Other Commercial REITs
BIOFIL CHEMICALS AND PHAR         ,66.16,13.2M,22.45%,Generic Pharmaceuticals
TRESCON LIMITED         ,15,13.14M,-13.34%,Other Real Estate Development & Operations
PHOENIX INTERNATIONAL LIM        ,67.67,13.13M,76.22%,Other Real Estate Development & Operations
LATTEYS INDUSTRIES LIMITE         ,20.08,13.12M,-42.46%,Pump & Pumping Equipment
GLOBAL PET INDUSTRIES LIM          ,112.25,13.11M,19.41%,Other Industrial Machinery & Equipment
POPEES CARES LIMITED         ,185.1,13.09M,222.81%,Other Apparel & Accessories
EVEREST ORGANICS LIMITED         ,138.9,13.09M,9.67%,Generic Pharmaceuticals
ANJANI FOODS LIMITED         ,39.04,13.08M,-5.75%,Bread & Bakery Product Manufacturing
RAAJ MEDISAFE INDIA LIMIT         ,101.45,13.05M,161.47%,Medical Supplies
MOHINI HEALTH HYGIENE LIM         ,59.5,13.04M,-11.52%,Medical Supplies
CREATIVE CASTINGS LIMITED          ,893.8,13.01M,11.77%,"Iron, Steel Mills & Foundries"
ARNOLD HOLDINGS LTD         ,45.07,13M,117.62%,Other Corporate Financial Services
GOKAK TEXTILES LIMITED         ,166.95,12.98M,70.79%,Other Textiles & Leather Goods
PALRED TECHNOLOGIES LIMIT         ,90.51,12.95M,-52.14%,Other IT Services & Consulting
MOKSH ORNAMENTS LIMITED         ,21.33,12.94M,52.36%,Jewelry
MCNALLY BHARAT ENGINEERIN        ,5.36,12.9M,-5.80%,Other Construction & Engineering
IFL ENTERPRISES LIMITED          ,1.43,12.9M,-24.34%,Textiles & Leather Goods Wholesale
HOV SERVICES LIMITED        ,84.03,12.89M,15.90%,Other IT Services & Consulting
FRESHTROP FRUITS LIMITED         ,136.4,12.85M,-4.55%,Fishing & Farming Wholesale
HEC INFRA PROJECTS LIMITE         ,109.53,12.83M,20.30%,Other Construction & Engineering
ARIHANT ACADEMY LIMITED          ,184.05,12.8M,6.11%,Professional & Business Education
SKY INDUSTRIES LIMITED         ,132.75,12.79M,83.10%,Synthetic Fabrics
ALSTONE TEXTILES INDIA LI          ,0.86,12.78M,-25.22%,Textiles & Leather Goods Wholesale
PRABHAT TECHNOLOGIES INDI         ,100,12.77M,9.59%,Other Phones & Handheld Devices
MAYANK CATTLE FOOD LIMITE          ,197.2,12.69M,0.00%,Other Food Processing
MADHAV COPPER LIMITED          ,40.38,12.69M,3.80%,Wires & Cables
AARVEE DENIMS AND EXPORTS        ,47.54,12.67M,66.63%,Other Textiles & Leather Goods
AUTO PINS INDIA LIMITED         ,185.7,12.65M,38.58%,"Other Auto, Truck & Motorcycle Parts"
ASTRON PAPER BOARD MILL L         ,22.97,12.62M,-29.21%,Other Paper Products
SECMARK CONSULTANCY LIMIT          ,98.25,12.55M,-22.05%,Other IT Services & Consulting
YAARI DIGITAL INTEGRATED           ,10.66,12.55M,0.09%,Other Business Support Services
SOM DATT FINANCE CORPORAT         ,107.85,12.55M,1.65%,Other Investment Banking & Brokerage Services
MODULEX CONSTRUCTION TECH         ,15.9,12.53M,19.55%,Other Construction & Engineering
ARCHIT ORGANOSYS LIMITED         ,49.66,12.52M,-9.84%,Other Commodity Chemicals
HB STOCKHOLDINGS LIMITED         ,147.15,12.51M,101.11%,Brokerage Services
KKALPANA INDUSTRIES INDIA         ,11.69,12.5M,17.02%,Plastics
BOMBAY METRICS SUPPLY CHA          ,161.4,12.48M,40.47%,Nonferrous Metal Processing
KARMA ENERGY LIMITED         ,90.5,12.47M,21.35%,Other Electric Utilities
SURAJ INDUSTRIES LTD          ,79.02,12.46M,-24.74%,Glass Containers & Packaging
CROP LIFE SCIENCE LIMITED          ,66.75,12.42M,42.48%,Other Agricultural Chemicals
SHILP GRAVURES LIMITED         ,168.5,12.4M,-15.33%,Other Industrial Machinery & Equipment
TPI INDIA LIMITED         ,24.5,12.4M,497.56%,Other Paper Packaging
GANGA PAPERS INDIA LIMITE         ,94.05,12.36M,8.99%,Paper Mills & Products
CINEVISTA LIMITED        ,17.9,12.34M,5.92%,"Movie, TV Production & Distribution"
CHOWGULE STEAMSHIPS LIMIT         ,29.85,12.32M,109.18%,Other Marine Freight & Logistics
DEEPAK CHEMTEX LIMITED          ,93.56,12.31M,-16.13%,Other Specialty Chemicals
DUTRON POLYMERS LIMITED         ,177.5,12.3M,19.69%,Plumbing Fixtures & Fittings
ORIENT PRESS LIMITED        ,100.84,12.24M,20.41%,Plastic Containers & Packaging
TITAN SECURITIES LIMITED         ,40.27,12.24M,63.57%,Diversified Investment Services
MAKERS LABORATORIES LIMIT         ,169.55,12.24M,22.33%,Generic Pharmaceuticals
REMI EDELSTAHL TUBULARS L         ,91.35,12.24M,17.54%,"Iron, Steel Mills & Foundries"
MUKESH BABU FINANCIAL SER         ,146.95,12.21M,26.35%,Commercial Loans
ASTAL LABORATORIES LIMITE         ,106.17,12.21M,200.51%,Other Consumer Lending
LCC INFOTECH LIMITED          ,8.23,12.19M,264.16%,Computer Training
SABOO SODIUM CHLORO LIMIT         ,23.18,12.18M,14.19%,Other Food Processing
SKP SECURITIES LIMITED         ,155.95,12.18M,114.33%,Other Investment Banking & Brokerage Services
KAY POWER AND PAPER LIMIT         ,46.79,12.12M,151.29%,Paper Mills & Products
SIMBHAOLI SUGARS LIMITED          ,24.92,12.12M,-15.47%,Sugar & Artificial Sweeteners
UNIQUE ORGANICS LIMITED         ,187.5,12.11M,145.58%,Other Food Processing
BANSAL ROOFING PRODUCTS L         ,75.66,12.06M,-19.11%,Roofing Supplies
HISAR METAL INDUSTRIES LI         ,187.95,12.05M,-8.36%,Other Steel
MKP MOBILITY LIMITED         ,281.1,12.04M,344.85%,Shell Companies
T I GLOBAL LIMITED         ,196.5,12.03M,-36.52%,Industrial Machinery
VISTA PHARMACEUTICALS LIM         ,12.89,12.03M,-12.13%,Generic Pharmaceuticals
INNOVASSYNTH INVESTMENTS          ,45.61,12.01M,107.89%,Other Investment Management & Fund Operators
PORWAL AUTO COMPONENTS LI         ,65.45,12M,48.51%,"Other Auto, Truck & Motorcycle Parts"
SAMBHAAV MEDIA LIMITED         ,5.78,11.99M,46.33%,Other Consumer Publishing
MANGALAM ALLOYS LIMITED          ,40.8,11.99M,-20.23%,Other Steel
MOHITE INDUSTRIES LIMITED         ,52.16,11.99M,32.39%,Other Textiles & Leather Goods
ADROIT INFOTECH LIMITED         ,18.99,11.98M,-13.21%,Other Software
SATI POLY PLAST LIMITED          ,199,11.98M,0.00%,Plastic Containers & Packaging
SYNOPTICS TECHNOLOGIES LI          ,118.35,11.97M,-10.00%,Other Software
APLAB LIMITED         ,90.37,11.97M,6.13%,Other Electronic Equipment & Parts
PRITISH NANDY COMMUNICATI        ,68.63,11.96M,38.09%,"Movie, TV Production & Distribution"
SILKFLEX POLYMERS INDIA L          ,82.45,11.91M,0.00%,Other Specialty Chemicals
KEMISTAR CORPORATION LIMI         ,92.72,11.9M,126.15%,Other Specialty Chemicals
CHARTERED LOGISTICS LIMIT         ,10.1,11.84M,34.49%,Other Ground Freight & Logistics
SCOOBEE DAY GARMENTS INDI         ,72.57,11.84M,-18.89%,Other Apparel & Accessories
ACME RESOURCES LIMITED          ,37.76,11.84M,2.83%,Other Consumer Lending
VASUNDHARA RASAYANS LIMIT         ,309.1,11.83M,56.51%,Other Pharmaceuticals
UNIFINZ CAPITAL INDIA LIM          ,320.4,11.77M,624.89%,Other Corporate Financial Services
CELEBRITY FASHIONS LIMITE        ,17.26,11.76M,0.94%,Other Apparel & Accessories
DELTA MANUFACTURING LIMIT         ,93.55,11.74M,-1.83%,Industrial Parts & Components
GUJARAT CONTAINERS LIMITE         ,180,11.7M,11.80%,Other Non-Paper Containers & Packaging
AIK PIPES AND POLYMERS LI          ,150,11.69M,0.00%,Plumbing Fixtures & Fittings
SHARIKA ENTERPRISES LIMIT         ,23.71,11.67M,223.47%,Smart Grid & Power Distribution Construction
PRESSURE SENSITIVE SYSTEM         ,6.46,11.67M,-25.14%,Other Textiles & Leather Goods
SHRISTI INFRASTRUCTURE DE         ,43.11,11.66M,-27.41%,Other Construction & Engineering
MADHUCON PROJECTS LIMITED        ,13.88,11.64M,99.43%,Highway & Bridge Construction
BITS LIMITED          ,8.88,11.63M,419.30%,Office Real Estate Development
DAIKAFFIL CHEMICALS INDIA         ,169.9,11.6M,117.96%,Other Specialty Chemicals
AIMCO PESTICIDES LIMITED         ,102.05,11.6M,-20.34%,Pesticide
DOLLEX AGROTECH LIMITED          ,36.5,11.57M,-25.81%,Sugar & Artificial Sweeteners
MCDOWELL HOLDINGS LIMITED         ,69.25,11.56M,-.--%,Other Holding Companies
JEEVAN SCIENTIFIC TECHNOL         ,61.15,11.56M,-0.37%,Other Biotechnology & Medical Research
ALKOSIGN LIMITED          ,136.2,11.56M,-31.56%,Other Business Support Supplies
HB PORTFOLIO LIMITED         ,95.05,11.55M,32.92%,Other Investment Banking & Brokerage Services
CRANES SOFTWARE INTERNATI        ,6.25,11.55M,57.04%,Other Software
TREE HOUSE EDUCATION ACCE         ,22.66,11.49M,7.75%,Child Care & Family Services
KAIZEN AGRO INFRABUILD LI         ,17.93,11.48M,45.77%,Other Construction & Engineering
ARABIAN PETROLEUM LIMITED          ,88.25,11.47M,-9.49%,Other Oil & Gas Refining and Marketing
ACKNIT INDUSTRIES LIMITED         ,302.5,11.43M,15.46%,Other Apparel & Accessories
TAYO ROLLS LIMITED         ,94.7,11.42M,-1.97%,"Iron, Steel Mills & Foundries"
KBS INDIA LIMITED         ,9.14,11.41M,-1.40%,Brokerage Services
MINAL INDUSTRIES LIMITED         ,5.07,11.4M,18.74%,Other Apparel & Accessories
MAHARASHTRA CORPORATION L         ,0.87,11.39M,-47.27%,Textiles & Leather Goods Wholesale
AGRO PHOS INDIA LIMITED         ,45.39,11.39M,0.42%,Fertilizer
VIDLI RESTAURANTS LIMITED         ,75.73,11.38M,9.75%,Quick Service Restaurants
WELCAST STEELS LIMITED         ,"1,497.75",11.36M,1.12%,Other Steel
LYKIS LIMITED         ,49.26,11.34M,-16.28%,"Coffee, Tea & Cocoa Farming"
AGNI GREEN POWER LIMITED          ,49.45,11.33M,92.41%,Photovoltaic Solar Systems & Equipment
BULKCORP INTERNATIONAL LI          ,123.2,11.32M,0.00%,Plastic Containers & Packaging
DEEM ROLL TECH LIMITED          ,110.45,11.31M,0.00%,Metallic Rolling & Drawing Products
SANGAM FINSERV LIMITED         ,106.7,11.31M,64.05%,Other Corporate Financial Services
ELEGANT MARBLES AND GRANI         ,256.45,11.3M,-25.39%,Construction Supplies
NILACHAL REFRACTORIES LIM         ,48.1,11.3M,3.78%,Other Construction Materials
RIDDHI CORPORATE SERVICES         ,86.47,11.28M,-35.78%,Other Business Support Services
NRB INDUSTRIAL BEARINGS L         ,39.58,11.28M,-11.65%,Ball & Roller Bearings
SUNIL HEALTHCARE LIMITED         ,94,11.25M,71.50%,Generic Pharmaceuticals
FUTURISTIC SOLUTIONS LIMI         ,93.77,11.25M,20.51%,Other Corporate Financial Services
SHIVAM CHEMICALS LIMITED          ,54.95,11.23M,0.00%,Construction Material Processing
POLYLINK POLYMERS INDIA L         ,42.6,11.21M,63.91%,Plastics
LESHA INDUSTRIES LIMITED         ,2.74,11.2M,-42.19%,Other Steel
HARIYANA SHIP BREAKERS LI         ,149,11.2M,32.27%,Metal Merchant Wholesale
EVERLON FINANCIALS LIMITE         ,148.1,11.18M,143.47%,Other Investment Banking & Brokerage Services
SATCHMO HOLDINGS LIMITED         ,6.12,11.17M,87.16%,Other Business Support Services
GANGA FORGING LIMITED         ,9.27,11.16M,45.98%,"Iron, Steel Mills & Foundries"
SUPERIOR INDUSTRIAL ENTER         ,64.1,11.14M,28.20%,Other Paper Packaging
GOL OFFSHORE LIMITED        ,-,11.14M,-.--%,Other Oil Related Services and Equipment
ATLAS JEWELLERY INDIA LIM         ,9.27,11.13M,-.--%,Jewelry
AVSL INDUSTRIES LIMITED         ,174.05,11.07M,19.46%,Plastics
AURO IMPEX CHEMICALS LIMI          ,74.9,11.06M,1.42%,Metallic Rolling & Drawing Products
AMRAPALI INDUSTRIES LIMIT         ,16.93,11.06M,20.93%,Other Investment Banking & Brokerage Services
ARO GRANITE INDUSTRIES LI         ,58.79,11.06M,20.47%,Other Construction Materials
KEERTHI INDUSTRIES LIMITE         ,115.9,11.03M,-10.43%,Cement & Concrete Manufacturing
QUICKTOUCH TECHNOLOGIES L          ,159,11.01M,-19.49%,Other Software
SKYLINE MILLARS LIMITED         ,22.8,10.95M,54.58%,Construction Machinery
CAPFIN INDIA LIMITED         ,303.75,10.93M,13.13%,Commercial Loans
FILTRA CONSULTANTS AND EN         ,83.5,10.92M,101.33%,Water Supply & Irrigation Systems
SERVICE CARE LIMITED          ,82.15,10.91M,47.75%,Other Employment Services
TERA SOFTWARE LIMITED         ,74.46,10.9M,20.37%,Other IT Services & Consulting
ARCHIES LIMITED        ,27.8,10.89M,-2.80%,"Gift, Novelty & Souvenir Stores"
CMX HOLDINGS LIMITED         ,82.01,10.88M,319.92%,
SVP GLOBAL TEXTILES LIMIT         ,7.39,10.88M,-25.35%,Yarn Goods
ASHNOOR TEXTILE MILLS LIM         ,54.37,10.88M,5.18%,Other Household Products
BANAS FINANCE LIMITED         ,9.97,10.84M,-44.95%,Other Investment Banking & Brokerage Services
PATDIAM JEWELLERY LIMITED         ,210.4,10.84M,-9.31%,Jewelry
AMBO AGRITEC LIMITED          ,96,10.83M,268.52%,"Cookie, Cracker & Pasta Manufacturing"
ASSOCIATED CERAMICS LIMIT         ,316.95,10.83M,-50.65%,Tile & Paving Material Manufacturing
VARANIUM CLOUD LIMITED          ,22.65,10.82M,-77.36%,Other Integrated Telecommunications Services
KRISHNA VENTURES LIMITED         ,83.61,10.81M,13.60%,Other Real Estate Development & Operations
NAM SECURITIES LIMITED         ,161.2,10.8M,136.29%,Other Investment Banking & Brokerage Services
THE VICTORIA MILLS LIMITE         ,"9,631.45",10.79M,128.69%,Residential Real Estate Development
BRACE PORT LOGISTICS LIMI          ,80,10.79M,0.00%,
KANISHK STEEL INDUSTRIES          ,31.8,10.78M,9.35%,"Iron, Steel Mills & Foundries"
SHREE MARUTINANDAN TUBES           ,261,10.78M,0.00%,Other Steel
PRESSTONIC ENGINEERING LI          ,116.55,10.76M,-12.76%,Locomotive Engines & Rolling Stock
HEALTHY LIFE AGRITEC LIMI          ,43.02,10.76M,909.86%,Food Wholesale
SAM INDUSTRIES LTD         ,80.06,10.73M,0.72%,Commercial Equipment Rental
MANOJ CERAMIC LIMITED          ,107.25,10.72M,0.00%,Other Construction & Engineering
JINDAL HOTELS LIMITED         ,121.9,10.71M,143.61%,Hotels & Motels
GRAPHISADS LIMITED          ,50,10.71M,-30.84%,Advertising Agency
JET FREIGHT LOGISTICS LIM         ,22.86,10.7M,79.29%,Other Air Freight & Logistics
ONE GLOBAL SERVICE PROVID         ,125.95,10.69M,207.65%,"Other Medical Equipment, Supplies & Distribution"
SANRHEA TECHNICAL TEXTILE         ,181.35,10.69M,64.86%,Other Textiles & Leather Goods
SHINE FASHIONS INDIA LIMI          ,335.35,10.66M,153.96%,Other Textiles & Leather Goods
BHATIA COLOUR CHEM LIMITE          ,69.83,10.66M,27.40%,Tanning & Softening Agents
DEV LABTECH VENTURE LIMIT          ,88,10.65M,-6.33%,Jewelry
ROYALE MANOR HOTELS AND I         ,45.88,10.64M,54.48%,Hotels & Motels
AHMEDABAD STEELCRAFT LIMI         ,222.05,10.63M,616.29%,
RELIABLE DATA SERVICES LI         ,88.02,10.63M,4.79%,Other Business Support Services
HINDUSTAN HARDY LIMITED         ,699.8,10.62M,32.66%,Other Industrial Machinery & Equipment
M V K AGRO FOOD PRODUCT L          ,58.6,10.62M,0.00%,Sugar & Artificial Sweeteners
SITI NETWORKS LIMITED        ,1.04,10.61M,30.00%,Cable Service Providers
RASANDIK ENGINEERING INDU         ,144.7,10.59M,19.51%,"Other Auto, Truck & Motorcycle Parts"
GSM FOILS LIMITED          ,72.6,10.59M,0.00%,Other Aluminum
DHARNI CAPITAL SERVICES L          ,45,10.58M,16.85%,Investment Management
BHEEMA CEMENTS LIMITED          ,25.79,10.56M,9.60%,Cement & Concrete Manufacturing
RAMINFO LIMITED         ,127.85,10.54M,-8.09%,Other Software
INNOVATIVE TECH PACK LIMI         ,37.77,10.53M,15.89%,Other Non-Paper Containers & Packaging
PENTAGON RUBBER LIMITED          ,115.1,10.51M,-1.62%,Industrial Rubber Products
GUJARAT HOTELS LIMITED         ,231,10.47M,44.96%,"Other Hotels, Motels & Cruise Lines"
SEYA INDUSTRIES LIMITED         ,31.38,10.47M,49.50%,Other Specialty Chemicals
MAHICKRA CHEMICALS LIMITE         ,101.25,10.47M,0.15%,Other Specialty Chemicals
BABA FOOD PROCESSING INDI          ,52.7,10.45M,-21.93%,Other Food Processing
PROLIFE INDUSTRIES LIMITE         ,213.95,10.4M,-6.16%,Other Specialty Chemicals
OPTIMUS FINANCE LIMITED         ,112.05,10.4M,26.14%,Other Corporate Financial Services
RADIOWALLA NETWORK LIMITE          ,123.5,10.39M,0.00%,Other Broadcasting
UNIVERSAL STARCH CHEM ALL         ,212.95,10.37M,26.38%,Other Food Processing
NCL RESEARCH FINANCIAL SE         ,0.82,10.34M,32.26%,Other Corporate Financial Services
SIDDHIKA COATINGS LIMITED          ,145,10.32M,37.44%,Other Construction & Engineering
GLOBALSPACE TECHNOLOGIES           ,20.12,10.29M,21.87%,Other Software
BIOGEN PHARMACHEM INDUSTR         ,1.38,10.28M,-0.72%,Other Financial & Commodity Market Operators
PULSAR INTERNATIONAL LIMI          ,13.89,10.28M,74.94%,
AMEYA PRECISION ENGINEERS          ,111.55,1.03Cr,112.88%,Other Industrial Machinery & Equipment
VISHWAS AGRI SEEDS LIMITE          ,85,1.03Cr,0.00%,"Vegetable, Fruit & Nut Farming"
MALU PAPER MILLS LIMITED        ,51.36,1.02Cr,30.03%,Other Paper Products
SLONE INFOSYSTEMS LIMITED          ,156.55,1.02Cr,0.00%,Integrated Hardware & Software
MARSHALL MACHINES LIMITED         ,39.28,1.01Cr,-10.73%,Industrial Machinery
RAVI KUMAR DISTILLERIES L         ,33.54,1.01Cr,57.32%,Other Distillers & Wineries
 P LAND HOLDINGS LIMITED         ,45.6,1.01Cr,69.14%,Other Investment Management & Fund Operators
UNITED BREWERIES HOLDINGS         ,-,1.01Cr,-.--%,
AMBAR PROTEIN INDUSTRIES          ,160,1.01Cr,-10.39%,"Starch, Vegetable Fat & Oil Manufacturing"
EAST WEST FREIGHT CARRIER          ,6.34,1Cr,-21.34%,Other Air Freight & Logistics
GUJARAT POLY ELECTRONICS          ,97.6,1Cr,39.11%,Electronic Component
SIMRAN FARMS LIMITED         ,216.75,1Cr,25.22%,Poultry Farming
KALYAN CAPITALS LIMITED         ,15.7,1Cr,-23.93%,Other Corporate Financial Services
SUPRA PACIFIC FINANCIAL S          ,31.44,99.88L,24.07%,Other Corporate Financial Services
SHREE KRISHNA INFRASTRUCT          ,73.8,99.75L,39.25%,Residential Builders - Multifamily Homes
DILIGENT MEDIA CORPORATIO          ,6.95,99.72L,36.27%,Magazine Publishing
RAJ OIL MILLS LIMITED          ,56.73,99.51L,19.61%,"Starch, Vegetable Fat & Oil Manufacturing"
GANESHA ECOVERSE LIMITED         ,75.97,99.03L,5.22%,Metal Merchant Wholesale
CEEJAY FINANCE LIMITED         ,242.5,98.79L,28.48%,Other Corporate Financial Services
MILGREY FINANCE AND INVES         ,36.49,98.72L,-51.52%,Other Investment Banking & Brokerage Services
SHIVA MILLS LIMITED          ,95.65,98.63L,-0.47%,Other Textiles & Leather Goods
NHC FOODS LIMITED          ,6.97,98.59L,60.30%,Other Food Processing
