Name,Stock_price,Currency,Market Valuation,variation,Industry
IHLAS EV ALETLERI IMALAT SANAYI VE TICARET,2.34,TRY,23.25M,7.83%,Household Appliances
VESTEL BEYAZ ESYA SANAYI VE TICARET,17.6,TRY,85Cr,10.12%,Household Appliances
SAUDI MANPOWER SOLUTIONS COMPANY,9.4,SAR,1.01B,0.00%,Human Resources Consulting Services
AYDEM YENILENEBILIR ENERJI,27.7,TRY,56Cr,58.17%,Hydroelectric & Tidal Utilities
AYEN ENERJI,29.38,TRY,242M,21.46%,Hydroelectric & Tidal Utilities
IC ENTERRA YENILENEBILIR ENERJI ANONIM SIRKETI,8.7,TRY,483M,0.00%,Hydroelectric & Tidal Utilities
ELSPEC ENGINEERING LTD,515,ILa,27.1M,-10.28%,Industrial Electrical Switchgear
SAN-EL MHENDISLIK ELEKTRIK TAAHHT SANAYI VE TICARET,26.02,TRY,1.41Cr,4.08%,Industrial Electrical Switchgear
MAXIMA AIR SEPARATION CENTER LTD,"1,565.00",ILa,86.89M,25.40%,Industrial Gas
MUSCAT GASES COMPANY SAOG,0.123,OMR,95.83L,29.47%,Industrial Gas
ABRASIVES MANUFACTURING COMPANY SAOG,0.05,OMR,130K,0.00%,Industrial Machinery
HIGHCON SYSTEMS LTD.,111.9,ILa,6.56M,3.23%,Industrial Machinery
IMAS MAKINA SANAYI,11.72,TRY,8.13Cr,-7.05%,Industrial Machinery
LACHISH INDUSTRIES LTD,"2,165.00",ILa,49.19M,-11.67%,Industrial Machinery
MEKA BETON SANTRALLERI IMALAT SANAYI VE TICARET,51,TRY,94.56M,-12.40%,Industrial Machinery
GAS ARABIAN SERVICES COMPANY,13.02,SAR,54Cr,75.95%,Industrial Machinery & Equipment Wholesale
INOVEST B.S.C.,0.151,KWD,150M,79.12%,Industrial Real Estate Services
REYSAS GAYRIMENKUL YATIRIM ORTAKLIGI,11.25,TRY,68Cr,71.52%,Industrial REITs
ARAB VALVES COMPANY,1.84,EGP,28.27L,-4.07%,Industrial Valve Manufacturing
BURELIK VANA SANAYI VE TICARET,97.55,TRY,21.78M,35.96%,Industrial Valve Manufacturing
COSMOS INSURANCE COMPANY PUBLIC LTD.,0.133,EUR,84.09L,137.50%,Insurance - Automobile
JERUSALEM INSURANCE CO. (L.T.D),1.95,JOD,22.01M,4.28%,Insurance - Automobile
PALESTINE INSURANCE COMPANY,3.39,USD,3.05Cr,-3.14%,Insurance - Automobile
SALAMA COOPERATIVE INSURANCE COMPANY,27.85,SAR,15Cr,43.56%,Insurance - Automobile
SOLIDARITY BAHRAIN B.S.C.,0.348,BHD,12Cr,12.26%,Insurance - Automobile
P.C.B. TECHNOLOGIES LTD,498,ILa,96.45M,34.59%,Integrated Circuits
ARENA BILGISAYAR SANAYI VE TICARET,36.66,TRY,109M,16.31%,Integrated Hardware & Software
TONDO SMART LTD,340.3,ILa,1.11Cr,-35.13%,Integrated Hardware & Software
AGILITY GLOBAL PLC,1.13,AED,3.23B,0.00%,Integrated Logistics Operators
ARAMEX,2.42,AED,977M,5.68%,Integrated Logistics Operators
ETGA GROUP LTD,"1,226.00",ILa,73.71M,-7.05%,Integrated Logistics Operators
GULF WAREHOUSING COMPANY Q.P.S.C.,3.197,QAR,515M,2.08%,Integrated Logistics Operators
REYSAS TASIMACILIK VE LOJISTIK TICARET,51.55,TRY,757M,71.83%,Integrated Logistics Operators
AL MASANE AL KOBRA MINING COMPANY,64.3,SAR,152.53Cr,11.25%,Integrated Mining
SAUDI ARABIAN MINING COMPANY (MA'ADEN),42.15,SAR,41.58B,-13.18%,Integrated Mining
ARAMCO,27.95,SAR,"1,796B",-15.30%,Integrated Oil & Gas
DANA GAS,0.68,AED,1.3B,-14.14%,Integrated Oil & Gas
PETROLINA (HOLDINGS) PUBLIC LTD,0.85,EUR,8.32Cr,-24.11%,Integrated Oil & Gas
NATIONAL FINANCE COMPANY SAOG,0.14,OMR,209M,-15.66%,International Trade Financing
TERMINAL X ONLINE LTD.,320.9,ILa,107M,9.30%,Internet & Mail Order Department Stores
CANZON ISRAEL LTD,141.2,ILa,16.34L,-12.02%,Internet Service Providers
EMIRATES INVESTMENT BANK,123.15,AED,335M,11.95%,Investment Banking
ANALYST I.M.S. INVESTMENT MANAGEMENT SERVICES LTD,"3,793.00",ILa,12Cr,20.99%,Investment Management
"ARAB CO.,FOR ASSET MANAGEMENT AND DEVELOPMENT",0.772,EGP,20.95M,-22.33%,Investment Management
BABELON INVESTMENTS COMPANY (P.L.C),1.06,JOD,29.91L,-55.08%,Investment Management
BARAK INVESTMENT HOUSE LTD,"5,479.00",ILa,6.18M,-63.45%,Investment Management
EURO KAPITAL YATIRIM ORTAKLIGI ANONIM SIRKETI,14.51,TRY,86.72L,-4.54%,Investment Management
FINANCIAL SERVICES COMPANY SAOG,0.178,OMR,92.46L,0.00%,Investment Management
GARANTI YATIRIM ORTAKLIGI,9.01,TRY,96.26L,34.73%,Investment Management
I.B.I. INVESTMENT HOUSE LTD,"12,040.00",ILa,413M,30.32%,Investment Management
IS YATIRIM ORTAKLIGI,8.74,TRY,4.14Cr,-9.79%,Investment Management
KEYSTONE INFRA LTD,500.5,ILa,26Cr,-1.44%,Investment Management
LEADER HOLDINGS & INVESTMENTS LTD,64.5,ILa,92.59M,0.94%,Investment Management
RESPONSE PLUS HOLDING,3.8,AED,206M,-17.03%,Investment Management
Y.D. MORE INVESTMENTS LTD,837.3,ILa,162M,7.21%,Investment Management
DEMETRA HOLDINGS PLC,1.34,EUR,300M,86.11%,Investment Trusts
IRON & STEEL FOR MINES & QUARRIES,4.63,EGP,92.72M,198.32%,Iron Ore Mining
AL JAZEERA STEEL PRODUCTS COMPANY SAOG,0.285,OMR,92.44M,18.75%,"Iron, Steel Mills & Foundries"
ARABIAN STEEL PIPES MANUFACTURING CO.,1.23,JOD,15.62M,8.85%,"Iron, Steel Mills & Foundries"
BORUSAN YATIRIM VE PAZARLAMA,"1,744.00",TRY,1.46B,-25.83%,"Iron, Steel Mills & Foundries"
D–KTAS D–KMCLK TICARET VE SANAYI,26.6,TRY,25Cr,-13.30%,"Iron, Steel Mills & Foundries"
DEMISAS D–KM EMAYE MAMLLERI SANAYI ANONIM SIRKETI,5.37,TRY,3.14Cr,-34.87%,"Iron, Steel Mills & Foundries"
EREGLI DEMIR VE ELIK FABRIKALARI T.A.S.,47.6,TRY,497Cr,16.10%,"Iron, Steel Mills & Foundries"
ISKENDERUN DEMIR VE ELIK,34.36,TRY,295.87Cr,-0.69%,"Iron, Steel Mills & Foundries"
JORDAN STEEL P.L.C.,0.16,JOD,79L,-23.81%,"Iron, Steel Mills & Foundries"
KARDEMIR KARABK DEMIR ELIK SANAYI VE TICARET,23.24,TRY,763M,-2.19%,"Iron, Steel Mills & Foundries"
KO METALRJI ANONIM SIRKETI,17.5,TRY,180M,0.00%,"Iron, Steel Mills & Foundries"
KOCAER CELIK SANAYI VE TICARET ANONIM SIRKETI,42.8,TRY,82Cr,43.62%,"Iron, Steel Mills & Foundries"
KUWAIT FOUNDRY COMPANY K.S.C.P.,0.538,KWD,114M,30.27%,"Iron, Steel Mills & Foundries"
RIYADH STEEL COMPANY,24,SAR,4.4Cr,42.61%,"Iron, Steel Mills & Foundries"
SAUDI STEEL PIPES COMPANY,66.9,SAR,91Cr,84.30%,"Iron, Steel Mills & Foundries"
SHEBA METAL CASTING CO.,21.04,JOD,1.85Cr,-4.97%,"Iron, Steel Mills & Foundries"
TAQAT MINERAL TRADING COMPANY,12.14,SAR,4.06Cr,0.00%,"Iron, Steel Mills & Foundries"
THE JORDAN PIPES MANUFACTURING CO. LTD.,0.56,JOD,19.77L,-16.59%,"Iron, Steel Mills & Foundries"
UNITED GULF INVESTMENT CORPORATION B.S.C.,0.042,BHD,22.27M,-19.23%,"Iron, Steel Mills & Foundries"
WATANI IRON STEEL COMPANY,2.4,SAR,11Cr,-9.43%,"Iron, Steel Mills & Foundries"
ABU DHABI ISLAMIC BANK,12.58,AED,12.4B,24.31%,Islamic Banks
ABU DHABI ISLAMIC BANK - EGYPT - S.A.E,42.45,EGP,522M,27.38%,Islamic Banks
AHLI BANK SAOG,0.15,OMR,92Cr,-3.85%,Islamic Banks
AJMAN BANK,1.8,AED,1.31B,-13.46%,Islamic Banks
ALBARAKA BANK EGYPT S.A.E.,11.31,EGP,169M,-1.65%,Islamic Banks
ALINMA BANK,32.1,SAR,21.59B,3.82%,Islamic Banks
ARAB ISLAMIC BANK P.L.C.,1.13,USD,114M,-29.38%,Islamic Banks
BAHRAIN ISLAMIC BANK B.S.C.,0.06,BHD,168M,-6.25%,Islamic Banks
BANK ALBILAD,38.9,SAR,12.93B,6.99%,Islamic Banks
BANK ALJAZIRA,17.8,SAR,479.15Cr,18.98%,Islamic Banks
BOUBYAN BANK K.S.C.P.,0.589,KWD,8.1B,4.06%,Islamic Banks
DUBAI ISLAMIC BANK,6.16,AED,12.02B,7.69%,Islamic Banks
DUKHAN BANK Q.P.S.C.,3.757,QAR,536.2Cr,-5.48%,Islamic Banks
EMIRATES ISLAMIC BANK,5,AED,7.39B,-22.36%,Islamic Banks
FAISAL ISLAMIC BANK OF EGYPT,0.995,USD,525M,0.51%,Islamic Banks
ITHMAAR HOLDING B.S.C.,0.026,USD,75.66M,-13.33%,Islamic Banks
JORDAN ISLAMIC BANK,4.05,JOD,114.26Cr,-0.74%,Islamic Banks
KHALEEJI BANK B.S.C.,0.086,BHD,25Cr,10.26%,Islamic Banks
KUWAIT FINANCE HOUSE K.S.C.P.,0.718,KWD,39.05B,7.79%,Islamic Banks
LESHA BANK LLC,1.291,QAR,397M,-2.42%,Islamic Banks
MASRAF AL RAYAN (Q.P.S.C.),2.237,QAR,571.46Cr,-15.74%,Islamic Banks
PALESTINE ISLAMIC BANK,1.2,USD,12Cr,-31.43%,Islamic Banks
QATAR INTERNATIONAL ISLAMIC BANK (Q.P.S.C),10.9,QAR,453.21Cr,1.96%,Islamic Banks
SAFA BANK,0.7,USD,36.49M,2.94%,Islamic Banks
SAFWA ISLAMIC BANK,1.88,JOD,318M,16.29%,Islamic Banks
SHARJAH ISLAMIC BANK,2.22,AED,198.21Cr,-8.64%,Islamic Banks
THE SAUDI NATIONAL BANK,36.6,SAR,58.39B,-5.30%,Islamic Banks
WARBA BANK K.S.C.P.,0.196,KWD,1.4B,11.68%,Islamic Banks
ABU DHABI NATIONAL TAKAFUL COMPANY,4.77,AED,14Cr,-20.50%,Islamic Insurance
AL-ETIHAD COOPERATIVE INSURANCE COMPANY,19.32,SAR,26Cr,16.67%,Islamic Insurance
ALJAZIRA TAKAFUL TAAWUNI COMPANY,17.8,SAR,314M,4.71%,Islamic Insurance
AL-TAKAFUL PALESTINIAN INSURANCE COMPANY,2.95,USD,3.24Cr,-1.34%,Islamic Insurance
ARABIAN SCANDINAVIAN INSURANCE COMPANY (PLC) - TAKAFUL - ASCANA INSURANCE,1.65,AED,69.18M,3.77%,Islamic Insurance
"DAMAAN ISLAMIC INSURANCE COMPANY ""BEEMA"" (Q.P.S.C.)",3.9,QAR,214M,-2.21%,Islamic Insurance
DAR AL TAKAFUL,0.64,AED,45.9M,5.96%,Islamic Insurance
DUBAI ISLAMIC INSURANCE & REINSURANCE CO. (AMAN),0.356,AED,21.82M,-17.97%,Islamic Insurance
FIRST INSURANCE COMPANY,0.72,JOD,28.44M,-5.26%,Islamic Insurance
FIRST TAKAFUL INSURANCE COMPANY - KPSC,0.16,KWD,5.58Cr,175.86%,Islamic Insurance
ISLAMIC ARAB INSURANCE CO. (SALAMA),0.367,AED,92.2M,-33.27%,Islamic Insurance
METHAQ TAKAFUL INSURANCE,0.645,AED,26.34M,-.--%,Islamic Insurance
ORIENT TAKAFUL,78.5,AED,4.27Cr,-.--%,Islamic Insurance
QATAR ISLAMIC INSURANCE GROUP Q.P.S.C.,8.041,QAR,331M,-9.64%,Islamic Insurance
TAKAFUL EMARAT - INSURANCE,0.543,AED,21.97M,38.87%,Islamic Insurance
TAKAFUL INTERNATIONAL COMPANY B.S.C.,0.128,BHD,28.84M,0.00%,Islamic Insurance
TAKAFUL OMAN INSURANCE SAOG,0.049,OMR,3.18Cr,2.08%,Islamic Insurance
TAMKEEN INSURANCE COMPANY,2,USD,26.21M,10.53%,Islamic Insurance
THE ISLAMIC INSURANCE COMPANY,1.6,JOD,37.24M,25.72%,Islamic Insurance
WETHAQ TAKAFUL INSURANCE COMPANY K.S.C.P.,0.0389,KWD,1.4Cr,62.08%,Islamic Insurance
GELECEK VARLIK Y–NETIMI ANONIM SIRKETI,37.14,TRY,157M,8.79%,Islamic Investment Banking & Brokerage Services
GFH FINANCIAL GROUP BSC,0.101,KWD,120.37Cr,32.37%,Islamic Investment Banking & Brokerage Services
INMA HOLDING COMPANY Q.P.S.C.,4.11,QAR,63.94M,-0.89%,Islamic Investment Banking & Brokerage Services
AL SAFAT INVESTMENT COMPANY K.S.C.,0.1001,KWD,111M,4.60%,Islamic Investment Management & Fund Operators
GULF INVESTMENT HOUSE - KPSC,0.743,KWD,974M,125.15%,Islamic Investment Management & Fund Operators
MULKIA INVESTMENT COMPANY,37,SAR,64.1M,18.78%,Islamic Investment Management & Fund Operators
OSOUL INVESTMENT COMPANY - K.S.C.P,0.082,KWD,33.93M,-8.89%,Islamic Investment Management & Fund Operators
AL RAJHI REIT FUND,8.3,SAR,61Cr,-6.53%,Islamic REITs
ALAHLI CAPITAL - AL-AHLI REIT FUND,8,SAR,291M,-11.60%,Islamic REITs
ALINMA HOSPITALITY REIT,8.6,SAR,0,-11.25%,Islamic REITs
ALJAZIRA MAWTEN REIT FUND,16.4,SAR,5.21Cr,-2.25%,Islamic REITs
ALKHABEER REIT FUND,6.3,SAR,235M,2.27%,Islamic REITs
BONYAN REIT FUND,9.92,SAR,43Cr,1.22%,Islamic REITs
DERAYAH FINANCIAL - DERAYAH REIT FUND,6.51,SAR,186M,-21.09%,Islamic REITs
EMIRATES REIT (CEIC) PLC,0.195,USD,63.24M,-5.80%,Islamic REITs
ENBD REIT (CEIC) PLC,0.345,USD,86.25M,-7.01%,Islamic REITs
JADWA INVESTMENT - JADWA REIT SAUDI FUND,11.88,SAR,59Cr,-11.34%,Islamic REITs
JADWA REIT AL HARAMAIN FUND,6.26,SAR,113M,-3.84%,Islamic REITs
MEFIC REIT FUND,4.38,SAR,84.95M,-11.34%,Islamic REITs
MULKIA GULF REAL ESTATE REIT,5.55,SAR,153M,-8.26%,Islamic REITs
MUSHARAKA REIT FUND,5.06,SAR,12Cr,-12.61%,Islamic REITs
RIYAD REIT FUND,7.27,SAR,335M,-17.95%,Islamic REITs
SEDCO CAPITAL REIT FUND,7.84,SAR,386M,-14.04%,Islamic REITs
SICO CAPITAL - SICO SAUDI REIT FUND,4.25,SAR,64.53M,-6.59%,Islamic REITs
SWICORP WABEL REIT FUND,5.02,SAR,154M,7.04%,Islamic REITs
TALEEM REIT FUND,11.42,SAR,154M,0.88%,Islamic REITs
L'AZURDE COMPANY FOR JEWELRY,14.56,SAR,224M,2.54%,Jewelry
SILVERLINE ENDUSTRI VE TICARET,17.19,TRY,22.98M,23.49%,Kitchen Appliances
ARAB COMPANY FOR LAND RECLAMATION,36.47,EGP,38.88L,38.88%,Land Division & Subdivision
JORDAN MASAKEN FOR LAND AND INDUSTRIAL DEVELOPMENT GROUP,1.31,JOD,15.59M,-25.99%,Land Division & Subdivision
PIONEERS PROPERTIES FOR URBAN DEVELOPMENT,3.17,EGP,68.1M,40.89%,Land Division & Subdivision
WADI KOM OMBO FOR LAND RECLAMATION CO.,90.69,EGP,1.04Cr,21.00%,Land Division & Subdivision
ERIKA B-CURE LASER LTD,30.7,ILa,89.65L,-4.06%,Laser Equipment
KOZA ANADOLU METAL MADENCILIK ISLETMELERI,67.85,TRY,760M,59.95%,Lead Ore Mining
DERLUKS YATIRIM HOLDING ANONIM SIRKETI,11.79,TRY,69.34M,45.49%,Leather Goods
AGESA HAYAT VE EMEKLILIK ANONIM SIRKETI,97.65,TRY,529M,59.95%,Life Insurance
ANADOLU HAYAT EMEKLILIK ANONIM SIRKETI,94.8,TRY,119.8Cr,149.08%,Life Insurance
HAYAH INSURANCE COMPANY,1,AED,5.45Cr,1.01%,Life Insurance
AI CONVERSATION SYSTEMS LTD,720,ILa,750K,-68.83%,Machine Learning & Artificial Intelligence (AI) Services
CIPIA VISION LTD,51.4,ILa,21.16M,-16.69%,Machine Learning & Artificial Intelligence (AI) Services
PRESIGHT AI HOLDING PLC,2.5,AED,3.73B,15.21%,Machine Learning & Artificial Intelligence (AI) Services
RAZOR LABS,581,ILa,60.46M,255.35%,Machine Learning & Artificial Intelligence (AI) Services
MAKINA TAKIM ENDSTRISI,7.18,TRY,4.29Cr,39.26%,Machine Tools
DOGAN BURDA DERGI YAYINCILIK VE PAZARLAMA,241.4,TRY,14Cr,273.64%,Magazine Publishing
FIRST ADVISORY AND HOLDINGS S.A.,20,EUR,4.97Cr,5.26%,Management Consulting Services
IDEAL FINANSAL TEKNOLOJILER VE DANISMANLIK ANONIM SIRKETI,101.1,TRY,29.05M,5.92%,Management Consulting Services
JORDANIAN FOR MANAGEMENT & CONSULTANCY,1.6,JOD,5.64M,1.27%,Management Consulting Services
TAM DEVELOPMENT LLC,206,SAR,181M,57.25%,Management Consulting Services
SALALAH PORT SERVICES COMPANY SAOG,0.28,OMR,13Cr,-20.00%,Marine Cargo Handling Services
UPYACHTING MANAGEMENT PLC,0.595,EUR,99.9L,32.22%,Marine Passenger Transportation
ALLMED SOLUTIONS LTD,31.8,ILa,81.9L,-14.52%,Medical Devices & Implants
EPITOMEE MEDICAL LTD,331.8,ILa,27.57M,-10.61%,Medical Devices & Implants
BIO-VIEW LTD,27.8,ILa,90.81L,-15.50%,Medical Diagnostic & Testing Equipment
ONCOSEM ONKOLOJIK SISTEMLER SANAYI VE TICARET ANONIM SIRKETI,192.1,TRY,13Cr,28.21%,Medical Diagnostic & Testing Equipment
HUMAN XTENSIONS LTD.,49.5,ILa,35.96L,-61.81%,Medical Equipment
MEDITERA TIBBI MALZEME SANAYI VE TICARET ANONIM SIRKETI,44.96,TRY,159M,61.49%,Medical Equipment
AL-RAZI MEDICAL COMPANY,47,SAR,1.77Cr,-21.40%,Medical Equipment Wholesale
LANA MEDICAL COMPANY,38,SAR,4.03Cr,18.75%,Medical Equipment Wholesale
INTERCURE LTD.,771.5,ILa,96.11M,66.59%,Medical Farming
PHARMOCANN GLOBAL LTD,184.1,ILa,16.04L,31.41%,Medical Farming
ELBIT MEDICAL TECHNOLOGIES LTD,16.1,ILa,39.65L,-38.31%,Medical Imaging Systems
PULSENMORE LTD.,414.6,ILa,5.64Cr,-41.67%,Medical Monitoring Systems
FONET BILGI TEKNOLOJILERI,17.35,TRY,74.6M,173.43%,Medical Software & Technology Services
INTERNATIONAL COMPANY FOR MEDICAL INDUSTRIES S.A.E.,1.545,EGP,18.27L,-.--%,Medical Supplies
NEXTGEN BIOMED LTD,88,ILa,19.48L,-30.82%,Medical Supplies
NISSAN MEDICAL INDUSTRIES LTD,"1,469.00",ILa,34.8M,36.02%,Medical Supplies
QATARI GERMAN COMPANY FOR MEDICAL DEVICES (Q.P.S.C.),1.764,QAR,5.6Cr,21.57%,Medical Supplies
SEYITLER KIMYA SANAYI,5.34,TRY,16.22M,-6.15%,Medical Supplies
THOB AL ASEEL COMPANY,4.5,SAR,483M,-4.05%,Men's Clothing
BANTAS BANDIRMA AMBALAJ SANAYI VE TICARET,11.69,TRY,3.78Cr,77.12%,Metal Containers & Packaging
SCOPE METALS GROUP LTD.,"10,590.00",ILa,356M,-1.58%,Metal Merchant Wholesale
YUKSELEN CELIK ANONIM SIRKETI,8.57,TRY,65.42M,20.59%,Metal Merchant Wholesale
AVROT INDUSTRIES LTD,50.8,ILa,48.3M,-2.31%,Metal Service Centers
KIRAC GALVANIZ TELEKOMINIKASYON METAL MAKINE INSAAT ELEKTRIK SANAYI VE TICARET ANONIM SIRKETI,28.76,TRY,160M,0.00%,Metal Service Centers
ELIK HALAT VE TEL SANAYII,33.72,TRY,98.32M,-22.66%,Metallic Rolling & Drawing Products
AL YAMAMAH STEEL INDUSTRIES COMPANY,34.75,SAR,47Cr,40.46%,Metallic Rolling & Drawing Products
BENA STEEL INDUSTRIES,43.9,SAR,5.98Cr,10.86%,Metallic Rolling & Drawing Products
BMS BIRLESIK METAL SANAYI VE TICARET,52.4,TRY,114M,82.06%,Metallic Rolling & Drawing Products
BMS CELIK HASIR SANAYI VE TICARET ANONIM SIRKETI,21.74,TRY,23.3M,29.40%,Metallic Rolling & Drawing Products
BORUSAN MANNESMANN BORU SANAYI VE TICARET,360,TRY,153.65Cr,-39.09%,Metallic Rolling & Drawing Products
ERBOSAN ERCIYAS BORU SANAYII VE TICARET,172.6,TRY,10Cr,-2.92%,Metallic Rolling & Drawing Products
ERCIYAS ELIK BORU SANAYI,95.15,TRY,220M,-21.27%,Metallic Rolling & Drawing Products
OZYASAR TEL VE GALVANIZLEME SANAYI ANONIM SIRKETI,26.6,TRY,8.22Cr,0.00%,Metallic Rolling & Drawing Products
UNITED WIRE FACTORIES COMPANY,28.7,SAR,215M,-4.01%,Metallic Rolling & Drawing Products
FMS ENTERPRISES MIGUN LTD,"13,680.00",ILa,341M,13.34%,Military Clothing & Accessories
ALEF EDUCATION HOLDING PLC,1.25,AED,236.32Cr,0.00%,Miscellaneous Educational Service Providers
ARAB INTERNATIONAL COMPANY FOR EDUCATION AND INVESTMENT,2.45,JOD,14Cr,-1.21%,Miscellaneous Educational Service Providers
CAIRO EDUCATIONAL SERVICES SAE,20.7,EGP,5.09M,32.86%,Miscellaneous Educational Service Providers
CAIRO FOR INVESTMENT & REAL ESTATE DEVELOPMENT S.A.E.,13.6,EGP,162M,1.80%,Miscellaneous Educational Service Providers
EMIRATES DRIVING COMPANY,2.79,AED,82Cr,-16.30%,Miscellaneous Educational Service Providers
HUMANSOFT HOLDING COMPANY K.S.C.P.,2.626,KWD,115.29Cr,-18.88%,Miscellaneous Educational Service Providers
KNOWLEDGE TOWER,6.15,SAR,28.31M,-10.87%,Miscellaneous Educational Service Providers
OMAN EDUCATION & TRAINING INVESTMENT COMPANY SAOG,0.544,OMR,9.89Cr,54.55%,Miscellaneous Educational Service Providers
PETRA EDUCATION COMPANY PLC,2.68,JOD,75.61M,-21.87%,Miscellaneous Educational Service Providers
PHILADELPHIA INT'L EDUCATIONAL INVESTMENT COMPANY (PLC),1.76,JOD,37.24M,12.82%,Miscellaneous Educational Service Providers
TAALEEM MANAGEMENT SERVICES COMPANY S.A.E.,8.01,EGP,12Cr,57.37%,Miscellaneous Educational Service Providers
"THE EGYPTIAN MODERN EDUCATION SYSTEMS, S.A.E.",0.342,EGP,7.05M,-23.15%,Miscellaneous Educational Service Providers
ZARKA EDUCATIONAL & INVESTMENT CO.,2.78,JOD,67.94M,16.76%,Miscellaneous Educational Service Providers
GALILEO TECH LTD,19,ILa,21.28L,-34.71%,Miscellaneous Fintech Infrastructure
NAYAX LTD.,"8,514.00",ILa,84Cr,21.44%,Miscellaneous Fintech Infrastructure
MR. PENGU PUBLIC COMPANY LTD,1.15,EUR,321K,-.--%,Mobile Application Software
POMVOM LTD,255.7,ILa,1.07Cr,-37.74%,Mobile Application Software
SUNY CELLULAR COMMUNICATION LTD,106.1,ILa,62.57M,15.45%,Mobile Phone Retailers
REIT AZORIM - H.F LIVING LTD,370,ILa,96.21M,-6.09%,Mortgage REITs
BAHRAIN CINEMA COMPANY B.S.C.,0.23,BHD,47.88M,-4.17%,Movie Theaters & Movie Products
KUWAIT NATIONAL CINEMA COMPANY (K.P.S.C),1.31,KWD,397M,9.44%,Movie Theaters & Movie Products
ALBAAD MASSUOT YITZHAK LTD,"1,478.00",ILa,74.47M,19.19%,Natural Fabrics
LKS KADIFE TICARET VE SANAYI,89.35,TRY,74.06M,40.49%,Natural Fabrics
RUBENIS TEKSTIL SANAYI TICARET,36.36,TRY,88.6M,61.89%,Natural Fabrics
S–KTAS TEKSTIL SANAYI VE TICARET,4.56,TRY,3.01Cr,-1.51%,Natural Fabrics
AHLATCI DOGAL GAZ DAGITIM ENERJI VE YATIRIM,13.24,TRY,1B,29.30%,Natural Gas Distribution
BASKENT DOGALGAZ DAGITIM GAYRIMENKUL YATIRIM ORTAKLIGI,25.82,TRY,528M,38.00%,Natural Gas Distribution
EGYPT GAS COMPANY SAE,27.47,EGP,8.12Cr,3.01%,Natural Gas Distribution
ELECTRA POWER (2019) LTD,"2,078.00",ILa,9.9Cr,-20.14%,Natural Gas Distribution
ENERYA ENERJI ANONIM SIRKETI,194.6,TRY,81Cr,73.53%,Natural Gas Distribution
NATIONAL GAS AND INDUSTRIALIZATION COMPANY,112.2,SAR,222.27Cr,65.00%,Natural Gas Distribution
NATURAL GAS DISTRIBUTION COMPANY,43.5,SAR,62.5M,4.07%,Natural Gas Distribution
NEWMED ENERGY - LIMITED PARTNERSHIP,951.8,ILa,298.92Cr,-8.48%,Natural Gas Exploration & Production - Offshore
TAMAR PETROLEUM LTD,"1,928.00",ILa,46Cr,17.63%,Natural Gas Exploration & Production - Offshore
TOMER ENERGY ROYALTIES (2012) LTD,"1,604.00",ILa,87.1M,20.06%,Natural Gas Exploration & Production - Offshore
ADNOC GAS PLC,3.16,AED,65.82B,2.27%,Natural Gas Exploration & Production - Onshore
NATURELGAZ SANAYI VE TICARET,5.44,TRY,112M,-29.22%,Natural Gas Pipeline
OQ GAS NETWORKS SAOC,0.142,OMR,159.71Cr,-7.19%,Natural Gas Pipeline
ALI AL-GHANIM SONS AUTOMOTIVE COMPANY K.S.C.P.,1.176,KWD,1.05B,11.36%,New Car Dealers
AUTOMAX MOTORS LTD,18,ILa,5.24M,-53.12%,New Car Dealers
BEYAZ FILO OTO KIRALAMA,25.2,TRY,7.63Cr,28.38%,New Car Dealers
IHLAS HABER AJANSI,17.96,TRY,89.96M,20.37%,News Agencies
HRRIYET GAZETECILIK VE MATBAACILIK,3.76,TRY,66.22M,-1.31%,Newspaper Publishing
IHLAS GAZETECILIK,1.26,TRY,29.91M,0.80%,Newspaper Publishing
IHLAS YAYIN HOLDING,3.67,TRY,5.09Cr,32.85%,Newspaper Publishing
SHANIV PAPER INDUSTRY LTD,358.4,ILa,60.96M,2.08%,Newsprint Mills
ADGAR INVESTMENTS AND DEVELOPMENT LTD,444.1,ILa,199M,-13.26%,Office Real Estate Development
E.S. AUSTRALIA ISRAEL HOLDINGS LTD,"1,037.00",ILa,16.26M,7.76%,Office Real Estate Development
KUYAS YATIRIM,49.9,TRY,14Cr,-6.82%,Office Real Estate Development
LEVINSTEIN PROPERTIES LTD,"6,289.00",ILa,25Cr,-13.37%,Office Real Estate Development
VAKIF GAYRIMENKUL YATIRIM ORTAKLIGI,1.86,TRY,163M,2.76%,Office REITs
ADEL KALEMCILIK TICARET VE SANAYI,535.5,TRY,373M,59.76%,Office Supplies
GIPTA OFIS KIRTASIYE VE PROMOSYON RNLERI IMALAT SANAYI,41.74,TRY,154M,46.97%,Office Supplies
PAN GULF MARKETING COMPANY,25,SAR,5.1Cr,0.00%,Office Supplies & Stationery Stores
OFFTEC HOLDING GROUP COMPANY (P.L.C.),0.34,JOD,16.71M,-15.00%,Office Technology Equipment
ABRAJ ENERGY SERVICES SAOG,0.3,OMR,60Cr,0.33%,Oil Drilling - Onshore
COHEN DEVELOPMENT GAS & OIL LTD.,"11,130.00",ILa,196M,-1.33%,Oil Exploration & Production - Offshore
ISRAMCO NEGEV 2 LIMITED PARTNERSHIP,152.8,ILa,108.6Cr,1.39%,Oil Exploration & Production - Offshore
GLOBE EXPLORATION (Y.C.D.) LIMITED PARTNERSHIP,2.5,ILa,290K,-19.35%,Oil Exploration & Production - Onshore
